Región de residencia habitual actual,Comuna de residencia habitual actual,Población censada
Ñuble,San Nicolás,15099.0
Biobío,Concepción,230375.0
Biobío,Coronel,123648.0
Biobío,Chiguayante,85822.0
Biobío,Florida,12958.0
Biobío,Hualqui,25795.0
Biobío,Lota,39980.0
Biobío,Penco,48971.0
Biobío,San Pedro de La paz,150992.0
Biobío,Santa Juana,14947.0
Biobío,Talcahuano,147322.0
Biobío,Tomé,56907.0
Biobío,Hualpén,87731.0
Biobío,Lebu,25246.0
Biobío,Arauco,37163.0
Biobío,Cañete,34640.0
Biobío,Contulmo,5905.0
Biobío,Curanilahue,31119.0
Biobío,Los Álamos,21950.0
Biobío,Tirúa,10208.0
Biobío,Los Ángeles,219441.0
Biobío,Antuco,4373.0
Biobío,Cabrero,31256.0
Biobío,Laja,23706.0
Biobío,Mulchén,29036.0
Biobío,Nacimiento,26140.0
Biobío,Negrete,10723.0
Biobío,Quilaco,4440.0
Biobío,Quilleco,9700.0
Biobío,San Rosendo,3575.0
Biobío,Santa Bárbara,14075.0
Biobío,Tucapel,15729.0
Biobío,Yumbel,23170.0
Biobío,Alto Biobío,6016.0
La Araucanía,Temuco,292518.0
La Araucanía,Carahue,24957.0
La Araucanía,Cunco,19177.0
La Araucanía,Curarrehue,7733.0
La Araucanía,Freire,26164.0
La Araucanía,Galvarino,12710.0
La Araucanía,Gorbea,14148.0
La Araucanía,Lautaro,41936.0
La Araucanía,Loncoche,25158.0
La Araucanía,Melipeuco,6796.0
La Araucanía,Nueva Imperial,33988.0
La Araucanía,Padre Las Casas,80656.0
La Araucanía,Perquenco,7438.0
La Araucanía,Pitrufquén,27041.0
La Araucanía,Pucón,32321.0
La Araucanía,Saavedra,12877.0
La Araucanía,Teodoro Schmidt,15639.0
La Araucanía,Toltén,10041.0
La Araucanía,Vilcún,31575.0
La Araucanía,Villarrica,67737.0
La Araucanía,Cholchol,13167.0
La Araucanía,Angol,53022.0
La Araucanía,Collipulli,24303.0
La Araucanía,Curacautín,18536.0
La Araucanía,Ercilla,7730.0
La Araucanía,Lonquimay,10247.0
La Araucanía,Los Sauces,7348.0
La Araucanía,Lumaco,9253.0
La Araucanía,Purén,12184.0
La Araucanía,Renaico,10686.0
La Araucanía,Traiguén,18873.0
La Araucanía,Victoria,34464.0
Los Ríos,Valdivia,170043.0
Los Ríos,Corral,5501.0
