Región,Comuna,País o continente de nacimiento,Inmigrantes internacionales
Valparaíso,Llaillay,Venezuela (República Bolivariana de),166.0
Valparaíso,Llaillay,Otros países de América del Sur,32.0
Valparaíso,Llaillay,Otros países de América Central y El Caribe,19.0
Valparaíso,Llaillay,América del Norte,3.0
Valparaíso,Llaillay,Europa,16.0
Valparaíso,Llaillay,Asia,6.0
Valparaíso,Llaillay,África,2.0
Valparaíso,Llaillay,Oceanía,4.0
Valparaíso,Llaillay,País de nacimiento no declarado,0.0
Valparaíso,Panquehue,Total nacidos fuera del país,91.0
Valparaíso,Panquehue,Argentina,11.0
Valparaíso,Panquehue,Bolivia (Estado Plurinacional de),27.0
Valparaíso,Panquehue,Colombia,3.0
Valparaíso,Panquehue,Haití,7.0
Valparaíso,Panquehue,Perú,3.0
Valparaíso,Panquehue,Venezuela (República Bolivariana de),23.0
Valparaíso,Panquehue,Otros países de América del Sur,6.0
Valparaíso,Panquehue,Otros países de América Central y El Caribe,0.0
Valparaíso,Panquehue,América del Norte,3.0
Valparaíso,Panquehue,Europa,6.0
Valparaíso,Panquehue,Asia,1.0
Valparaíso,Panquehue,África,1.0
Valparaíso,Panquehue,Oceanía,0.0
Valparaíso,Panquehue,País de nacimiento no declarado,0.0
Valparaíso,Putaendo,Total nacidos fuera del país,349.0
Valparaíso,Putaendo,Argentina,70.0
Valparaíso,Putaendo,Bolivia (Estado Plurinacional de),49.0
Valparaíso,Putaendo,Colombia,30.0
Valparaíso,Putaendo,Haití,37.0
Valparaíso,Putaendo,Perú,25.0
Valparaíso,Putaendo,Venezuela (República Bolivariana de),54.0
Valparaíso,Putaendo,Otros países de América del Sur,45.0
Valparaíso,Putaendo,Otros países de América Central y El Caribe,21.0
Valparaíso,Putaendo,América del Norte,4.0
Valparaíso,Putaendo,Europa,14.0
Valparaíso,Putaendo,Asia,0.0
Valparaíso,Putaendo,África,0.0
Valparaíso,Putaendo,Oceanía,0.0
Valparaíso,Putaendo,País de nacimiento no declarado,0.0
Valparaíso,Santa María,Total nacidos fuera del país,392.0
Valparaíso,Santa María,Argentina,31.0
Valparaíso,Santa María,Bolivia (Estado Plurinacional de),81.0
Valparaíso,Santa María,Colombia,33.0
Valparaíso,Santa María,Haití,38.0
Valparaíso,Santa María,Perú,21.0
Valparaíso,Santa María,Venezuela (República Bolivariana de),133.0
Valparaíso,Santa María,Otros países de América del Sur,15.0
Valparaíso,Santa María,Otros países de América Central y El Caribe,22.0
Valparaíso,Santa María,América del Norte,9.0
Valparaíso,Santa María,Europa,6.0
Valparaíso,Santa María,Asia,3.0
Valparaíso,Santa María,África,0.0
Valparaíso,Santa María,Oceanía,0.0
Valparaíso,Santa María,País de nacimiento no declarado,0.0
Valparaíso,Quilpué,Total nacidos fuera del país,7623.0
Valparaíso,Quilpué,Argentina,764.0
Valparaíso,Quilpué,Bolivia (Estado Plurinacional de),132.0
Valparaíso,Quilpué,Colombia,762.0
Valparaíso,Quilpué,Haití,313.0
Valparaíso,Quilpué,Perú,335.0
Valparaíso,Quilpué,Venezuela (República Bolivariana de),4085.0
Valparaíso,Quilpué,Otros países de América del Sur,411.0
Valparaíso,Quilpué,Otros países de América Central y El Caribe,197.0
Valparaíso,Quilpué,América del Norte,105.0
Valparaíso,Quilpué,Europa,409.0
Valparaíso,Quilpué,Asia,67.0
Valparaíso,Quilpué,África,13.0
Valparaíso,Quilpué,Oceanía,15.0
Valparaíso,Quilpué,País de nacimiento no declarado,15.0
Valparaíso,Limache,Total nacidos fuera del país,1978.0
Valparaíso,Limache,Argentina,210.0
Valparaíso,Limache,Bolivia (Estado Plurinacional de),35.0
Valparaíso,Limache,Colombia,201.0
Valparaíso,Limache,Haití,306.0
Valparaíso,Limache,Perú,59.0
Valparaíso,Limache,Venezuela (República Bolivariana de),751.0
Valparaíso,Limache,Otros países de América del Sur,120.0
Valparaíso,Limache,Otros países de América Central y El Caribe,54.0
Valparaíso,Limache,América del Norte,46.0
Valparaíso,Limache,Europa,154.0
Valparaíso,Limache,Asia,25.0
Valparaíso,Limache,África,3.0
Valparaíso,Limache,Oceanía,0.0
Valparaíso,Limache,País de nacimiento no declarado,14.0
Valparaíso,Olmué,Total nacidos fuera del país,636.0
Valparaíso,Olmué,Argentina,78.0
Valparaíso,Olmué,Bolivia (Estado Plurinacional de),16.0
Valparaíso,Olmué,Colombia,53.0
Valparaíso,Olmué,Haití,38.0
Valparaíso,Olmué,Perú,27.0
Valparaíso,Olmué,Venezuela (República Bolivariana de),261.0
Valparaíso,Olmué,Otros países de América del Sur,31.0
Valparaíso,Olmué,Otros países de América Central y El Caribe,21.0
Valparaíso,Olmué,América del Norte,16.0
Valparaíso,Olmué,Europa,81.0
Valparaíso,Olmué,Asia,11.0
Valparaíso,Olmué,África,1.0
Valparaíso,Olmué,Oceanía,1.0
Valparaíso,Olmué,País de nacimiento no declarado,1.0
Valparaíso,Villa Alemana,Total nacidos fuera del país,4719.0
Valparaíso,Villa Alemana,Argentina,697.0
Valparaíso,Villa Alemana,Bolivia (Estado Plurinacional de),92.0
Valparaíso,Villa Alemana,Colombia,423.0
Valparaíso,Villa Alemana,Haití,88.0
Valparaíso,Villa Alemana,Perú,294.0
Valparaíso,Villa Alemana,Venezuela (República Bolivariana de),2194.0
Valparaíso,Villa Alemana,Otros países de América del Sur,280.0
Valparaíso,Villa Alemana,Otros países de América Central y El Caribe,128.0
Valparaíso,Villa Alemana,América del Norte,102.0
Valparaíso,Villa Alemana,Europa,340.0
Valparaíso,Villa Alemana,Asia,57.0
Valparaíso,Villa Alemana,África,14.0
Valparaíso,Villa Alemana,Oceanía,5.0
Valparaíso,Villa Alemana,País de nacimiento no declarado,5.0
Metropolitana de Santiago,Santiago,Total nacidos fuera del país,176956.0
Metropolitana de Santiago,Santiago,Argentina,2151.0
Metropolitana de Santiago,Santiago,Bolivia (Estado Plurinacional de),3026.0
Metropolitana de Santiago,Santiago,Colombia,20355.0
Metropolitana de Santiago,Santiago,Haití,2140.0
Metropolitana de Santiago,Santiago,Perú,32404.0
Metropolitana de Santiago,Santiago,Venezuela (República Bolivariana de),100967.0
Metropolitana de Santiago,Santiago,Otros países de América del Sur,6344.0
Metropolitana de Santiago,Santiago,Otros países de América Central y El Caribe,4301.0
Metropolitana de Santiago,Santiago,América del Norte,325.0
Metropolitana de Santiago,Santiago,Europa,1324.0
Metropolitana de Santiago,Santiago,Asia,3375.0
Metropolitana de Santiago,Santiago,África,114.0
Metropolitana de Santiago,Santiago,Oceanía,28.0
Metropolitana de Santiago,Santiago,País de nacimiento no declarado,102.0
Metropolitana de Santiago,Cerrillos,Total nacidos fuera del país,12732.0
Metropolitana de Santiago,Cerrillos,Argentina,220.0
Metropolitana de Santiago,Cerrillos,Bolivia (Estado Plurinacional de),270.0
Metropolitana de Santiago,Cerrillos,Colombia,1736.0
Metropolitana de Santiago,Cerrillos,Haití,3945.0
Metropolitana de Santiago,Cerrillos,Perú,2417.0
Metropolitana de Santiago,Cerrillos,Venezuela (República Bolivariana de),2995.0
Metropolitana de Santiago,Cerrillos,Otros países de América del Sur,560.0
Metropolitana de Santiago,Cerrillos,Otros países de América Central y El Caribe,376.0
Metropolitana de Santiago,Cerrillos,América del Norte,29.0
Metropolitana de Santiago,Cerrillos,Europa,59.0
Metropolitana de Santiago,Cerrillos,Asia,44.0
Metropolitana de Santiago,Cerrillos,África,4.0
Metropolitana de Santiago,Cerrillos,Oceanía,2.0
Metropolitana de Santiago,Cerrillos,País de nacimiento no declarado,75.0
Metropolitana de Santiago,Cerro Navia,Total nacidos fuera del país,12654.0
Metropolitana de Santiago,Cerro Navia,Argentina,335.0
Metropolitana de Santiago,Cerro Navia,Bolivia (Estado Plurinacional de),341.0
Metropolitana de Santiago,Cerro Navia,Colombia,1602.0
Metropolitana de Santiago,Cerro Navia,Haití,1647.0
Metropolitana de Santiago,Cerro Navia,Perú,3979.0
Metropolitana de Santiago,Cerro Navia,Venezuela (República Bolivariana de),3587.0
Metropolitana de Santiago,Cerro Navia,Otros países de América del Sur,632.0
Metropolitana de Santiago,Cerro Navia,Otros países de América Central y El Caribe,438.0
Metropolitana de Santiago,Cerro Navia,América del Norte,8.0
Metropolitana de Santiago,Cerro Navia,Europa,33.0
Metropolitana de Santiago,Cerro Navia,Asia,43.0
Metropolitana de Santiago,Cerro Navia,África,3.0
Metropolitana de Santiago,Cerro Navia,Oceanía,2.0
Metropolitana de Santiago,Cerro Navia,País de nacimiento no declarado,4.0
Metropolitana de Santiago,Conchalí,Total nacidos fuera del país,17686.0
Metropolitana de Santiago,Conchalí,Argentina,335.0
Metropolitana de Santiago,Conchalí,Bolivia (Estado Plurinacional de),626.0
Metropolitana de Santiago,Conchalí,Colombia,1837.0
Metropolitana de Santiago,Conchalí,Haití,1073.0
Metropolitana de Santiago,Conchalí,Perú,6938.0
Metropolitana de Santiago,Conchalí,Venezuela (República Bolivariana de),5282.0
Metropolitana de Santiago,Conchalí,Otros países de América del Sur,724.0
Metropolitana de Santiago,Conchalí,Otros países de América Central y El Caribe,707.0
Metropolitana de Santiago,Conchalí,América del Norte,23.0
Metropolitana de Santiago,Conchalí,Europa,62.0
Metropolitana de Santiago,Conchalí,Asia,62.0
Metropolitana de Santiago,Conchalí,África,10.0
Metropolitana de Santiago,Conchalí,Oceanía,1.0
Metropolitana de Santiago,Conchalí,País de nacimiento no declarado,6.0
Metropolitana de Santiago,El Bosque,Total nacidos fuera del país,11347.0
Metropolitana de Santiago,El Bosque,Argentina,405.0
Metropolitana de Santiago,El Bosque,Bolivia (Estado Plurinacional de),276.0
Metropolitana de Santiago,El Bosque,Colombia,1140.0
Metropolitana de Santiago,El Bosque,Haití,1784.0
Metropolitana de Santiago,El Bosque,Perú,1522.0
Metropolitana de Santiago,El Bosque,Venezuela (República Bolivariana de),5270.0
Metropolitana de Santiago,El Bosque,Otros países de América del Sur,523.0
Metropolitana de Santiago,El Bosque,Otros países de América Central y El Caribe,217.0
Metropolitana de Santiago,El Bosque,América del Norte,21.0
Metropolitana de Santiago,El Bosque,Europa,68.0
Metropolitana de Santiago,El Bosque,Asia,105.0
Metropolitana de Santiago,El Bosque,África,7.0
Metropolitana de Santiago,El Bosque,Oceanía,5.0
Metropolitana de Santiago,El Bosque,País de nacimiento no declarado,4.0
Metropolitana de Santiago,Estación Central,Total nacidos fuera del país,69328.0
Metropolitana de Santiago,Estación Central,Argentina,476.0
Metropolitana de Santiago,Estación Central,Bolivia (Estado Plurinacional de),1188.0
Metropolitana de Santiago,Estación Central,Colombia,8480.0
Metropolitana de Santiago,Estación Central,Haití,2770.0
Metropolitana de Santiago,Estación Central,Perú,8399.0
Metropolitana de Santiago,Estación Central,Venezuela (República Bolivariana de),43732.0
Metropolitana de Santiago,Estación Central,Otros países de América del Sur,2366.0
Metropolitana de Santiago,Estación Central,Otros países de América Central y El Caribe,1381.0
Metropolitana de Santiago,Estación Central,América del Norte,57.0
Metropolitana de Santiago,Estación Central,Europa,144.0
Metropolitana de Santiago,Estación Central,Asia,256.0
Metropolitana de Santiago,Estación Central,África,19.0
Metropolitana de Santiago,Estación Central,Oceanía,11.0
Metropolitana de Santiago,Estación Central,País de nacimiento no declarado,49.0
Metropolitana de Santiago,Huechuraba,Total nacidos fuera del país,9402.0
Metropolitana de Santiago,Huechuraba,Argentina,669.0
Metropolitana de Santiago,Huechuraba,Bolivia (Estado Plurinacional de),280.0
Metropolitana de Santiago,Huechuraba,Colombia,1157.0
Metropolitana de Santiago,Huechuraba,Haití,323.0
Metropolitana de Santiago,Huechuraba,Perú,1758.0
Metropolitana de Santiago,Huechuraba,Venezuela (República Bolivariana de),3677.0
Metropolitana de Santiago,Huechuraba,Otros países de América del Sur,685.0
Metropolitana de Santiago,Huechuraba,Otros países de América Central y El Caribe,339.0
Metropolitana de Santiago,Huechuraba,América del Norte,80.0
Metropolitana de Santiago,Huechuraba,Europa,278.0
Metropolitana de Santiago,Huechuraba,Asia,129.0
Metropolitana de Santiago,Huechuraba,África,4.0
Metropolitana de Santiago,Huechuraba,Oceanía,15.0
Metropolitana de Santiago,Huechuraba,País de nacimiento no declarado,8.0
Metropolitana de Santiago,Independencia,Total nacidos fuera del país,51908.0
Metropolitana de Santiago,Independencia,Argentina,349.0
Metropolitana de Santiago,Independencia,Bolivia (Estado Plurinacional de),891.0
Metropolitana de Santiago,Independencia,Colombia,6977.0
Metropolitana de Santiago,Independencia,Haití,801.0
Metropolitana de Santiago,Independencia,Perú,13705.0
Metropolitana de Santiago,Independencia,Venezuela (República Bolivariana de),25199.0
Metropolitana de Santiago,Independencia,Otros países de América del Sur,1988.0
Metropolitana de Santiago,Independencia,Otros países de América Central y El Caribe,1663.0
Metropolitana de Santiago,Independencia,América del Norte,47.0
Metropolitana de Santiago,Independencia,Europa,125.0
Metropolitana de Santiago,Independencia,Asia,108.0
Metropolitana de Santiago,Independencia,África,32.0
Metropolitana de Santiago,Independencia,Oceanía,5.0
Metropolitana de Santiago,Independencia,País de nacimiento no declarado,18.0
Metropolitana de Santiago,La Cisterna,Total nacidos fuera del país,19762.0
Metropolitana de Santiago,La Cisterna,Argentina,397.0
Metropolitana de Santiago,La Cisterna,Bolivia (Estado Plurinacional de),261.0
Metropolitana de Santiago,La Cisterna,Colombia,2124.0
Metropolitana de Santiago,La Cisterna,Haití,518.0
Metropolitana de Santiago,La Cisterna,Perú,1570.0
Metropolitana de Santiago,La Cisterna,Venezuela (República Bolivariana de),13703.0
Metropolitana de Santiago,La Cisterna,Otros países de América del Sur,664.0
Metropolitana de Santiago,La Cisterna,Otros países de América Central y El Caribe,260.0
Metropolitana de Santiago,La Cisterna,América del Norte,32.0
Metropolitana de Santiago,La Cisterna,Europa,132.0
Metropolitana de Santiago,La Cisterna,Asia,76.0
Metropolitana de Santiago,La Cisterna,África,7.0
Metropolitana de Santiago,La Cisterna,Oceanía,8.0
Metropolitana de Santiago,La Cisterna,País de nacimiento no declarado,10.0
Metropolitana de Santiago,La Florida,Total nacidos fuera del país,36685.0
Metropolitana de Santiago,La Florida,Argentina,1308.0
Metropolitana de Santiago,La Florida,Bolivia (Estado Plurinacional de),634.0
Metropolitana de Santiago,La Florida,Colombia,3831.0
Metropolitana de Santiago,La Florida,Haití,1040.0
Metropolitana de Santiago,La Florida,Perú,5250.0
Metropolitana de Santiago,La Florida,Venezuela (República Bolivariana de),20484.0
Metropolitana de Santiago,La Florida,Otros países de América del Sur,2020.0
Metropolitana de Santiago,La Florida,Otros países de América Central y El Caribe,944.0
Metropolitana de Santiago,La Florida,América del Norte,190.0
Metropolitana de Santiago,La Florida,Europa,538.0
Metropolitana de Santiago,La Florida,Asia,338.0
Metropolitana de Santiago,La Florida,África,32.0
Metropolitana de Santiago,La Florida,Oceanía,22.0
Metropolitana de Santiago,La Florida,País de nacimiento no declarado,54.0
Metropolitana de Santiago,La Granja,Total nacidos fuera del país,9550.0
Metropolitana de Santiago,La Granja,Argentina,310.0
Metropolitana de Santiago,La Granja,Bolivia (Estado Plurinacional de),156.0
Metropolitana de Santiago,La Granja,Colombia,1244.0
Metropolitana de Santiago,La Granja,Haití,751.0
Metropolitana de Santiago,La Granja,Perú,2009.0
Metropolitana de Santiago,La Granja,Venezuela (República Bolivariana de),4259.0
Metropolitana de Santiago,La Granja,Otros países de América del Sur,401.0
Metropolitana de Santiago,La Granja,Otros países de América Central y El Caribe,236.0
Metropolitana de Santiago,La Granja,América del Norte,26.0
Metropolitana de Santiago,La Granja,Europa,74.0
Metropolitana de Santiago,La Granja,Asia,67.0
Metropolitana de Santiago,La Granja,África,8.0
Metropolitana de Santiago,La Granja,Oceanía,5.0
Metropolitana de Santiago,La Granja,País de nacimiento no declarado,4.0
Metropolitana de Santiago,La Pintana,Total nacidos fuera del país,8313.0
Metropolitana de Santiago,La Pintana,Argentina,459.0
Metropolitana de Santiago,La Pintana,Bolivia (Estado Plurinacional de),265.0
Metropolitana de Santiago,La Pintana,Colombia,948.0
Metropolitana de Santiago,La Pintana,Haití,1160.0
Metropolitana de Santiago,La Pintana,Perú,2089.0
Metropolitana de Santiago,La Pintana,Venezuela (República Bolivariana de),2606.0
Metropolitana de Santiago,La Pintana,Otros países de América del Sur,482.0
Metropolitana de Santiago,La Pintana,Otros países de América Central y El Caribe,189.0
Metropolitana de Santiago,La Pintana,América del Norte,13.0
Metropolitana de Santiago,La Pintana,Europa,32.0
Metropolitana de Santiago,La Pintana,Asia,58.0
Metropolitana de Santiago,La Pintana,África,4.0
Metropolitana de Santiago,La Pintana,Oceanía,1.0
Metropolitana de Santiago,La Pintana,País de nacimiento no declarado,7.0
Metropolitana de Santiago,La Reina,Total nacidos fuera del país,6593.0
Metropolitana de Santiago,La Reina,Argentina,545.0
Metropolitana de Santiago,La Reina,Bolivia (Estado Plurinacional de),225.0
Metropolitana de Santiago,La Reina,Colombia,542.0
Metropolitana de Santiago,La Reina,Haití,121.0
Metropolitana de Santiago,La Reina,Perú,1025.0
Metropolitana de Santiago,La Reina,Venezuela (República Bolivariana de),1918.0
Metropolitana de Santiago,La Reina,Otros países de América del Sur,520.0
Metropolitana de Santiago,La Reina,Otros países de América Central y El Caribe,329.0
Metropolitana de Santiago,La Reina,América del Norte,315.0
Metropolitana de Santiago,La Reina,Europa,778.0
Metropolitana de Santiago,La Reina,Asia,197.0
Metropolitana de Santiago,La Reina,África,22.0
Metropolitana de Santiago,La Reina,Oceanía,40.0
Metropolitana de Santiago,La Reina,País de nacimiento no declarado,16.0
Metropolitana de Santiago,Las Condes,Total nacidos fuera del país,31069.0
Metropolitana de Santiago,Las Condes,Argentina,4418.0
Metropolitana de Santiago,Las Condes,Bolivia (Estado Plurinacional de),816.0
Metropolitana de Santiago,Las Condes,Colombia,2556.0
Metropolitana de Santiago,Las Condes,Haití,46.0
Metropolitana de Santiago,Las Condes,Perú,3570.0
Metropolitana de Santiago,Las Condes,Venezuela (República Bolivariana de),6494.0
Metropolitana de Santiago,Las Condes,Otros países de América del Sur,3255.0
Metropolitana de Santiago,Las Condes,Otros países de América Central y El Caribe,1697.0
Metropolitana de Santiago,Las Condes,América del Norte,1467.0
Metropolitana de Santiago,Las Condes,Europa,4130.0
Metropolitana de Santiago,Las Condes,Asia,2176.0
Metropolitana de Santiago,Las Condes,África,158.0
Metropolitana de Santiago,Las Condes,Oceanía,185.0
Metropolitana de Santiago,Las Condes,País de nacimiento no declarado,101.0
Metropolitana de Santiago,Lo Barnechea,Total nacidos fuera del país,12198.0
Metropolitana de Santiago,Lo Barnechea,Argentina,1719.0
Metropolitana de Santiago,Lo Barnechea,Bolivia (Estado Plurinacional de),433.0
Metropolitana de Santiago,Lo Barnechea,Colombia,1068.0
Metropolitana de Santiago,Lo Barnechea,Haití,68.0
Metropolitana de Santiago,Lo Barnechea,Perú,2345.0
Metropolitana de Santiago,Lo Barnechea,Venezuela (República Bolivariana de),1338.0
Metropolitana de Santiago,Lo Barnechea,Otros países de América del Sur,1024.0
Metropolitana de Santiago,Lo Barnechea,Otros países de América Central y El Caribe,647.0
Metropolitana de Santiago,Lo Barnechea,América del Norte,1111.0
Metropolitana de Santiago,Lo Barnechea,Europa,1349.0
Metropolitana de Santiago,Lo Barnechea,Asia,883.0
Metropolitana de Santiago,Lo Barnechea,África,74.0
Metropolitana de Santiago,Lo Barnechea,Oceanía,111.0
Metropolitana de Santiago,Lo Barnechea,País de nacimiento no declarado,28.0
Metropolitana de Santiago,Lo Espejo,Total nacidos fuera del país,6818.0
Metropolitana de Santiago,Lo Espejo,Argentina,224.0
Metropolitana de Santiago,Lo Espejo,Bolivia (Estado Plurinacional de),111.0
Metropolitana de Santiago,Lo Espejo,Colombia,663.0
Metropolitana de Santiago,Lo Espejo,Haití,2281.0
Metropolitana de Santiago,Lo Espejo,Perú,993.0
Metropolitana de Santiago,Lo Espejo,Venezuela (República Bolivariana de),2041.0
Metropolitana de Santiago,Lo Espejo,Otros países de América del Sur,265.0
Metropolitana de Santiago,Lo Espejo,Otros países de América Central y El Caribe,155.0
Metropolitana de Santiago,Lo Espejo,América del Norte,12.0
Metropolitana de Santiago,Lo Espejo,Europa,39.0
Metropolitana de Santiago,Lo Espejo,Asia,28.0
Metropolitana de Santiago,Lo Espejo,África,2.0
Metropolitana de Santiago,Lo Espejo,Oceanía,2.0
Metropolitana de Santiago,Lo Espejo,País de nacimiento no declarado,2.0
Metropolitana de Santiago,Lo Prado,Total nacidos fuera del país,12539.0
Metropolitana de Santiago,Lo Prado,Argentina,242.0
Metropolitana de Santiago,Lo Prado,Bolivia (Estado Plurinacional de),348.0
Metropolitana de Santiago,Lo Prado,Colombia,2250.0
Metropolitana de Santiago,Lo Prado,Haití,647.0
Metropolitana de Santiago,Lo Prado,Perú,4245.0
Metropolitana de Santiago,Lo Prado,Venezuela (República Bolivariana de),3841.0
Metropolitana de Santiago,Lo Prado,Otros países de América del Sur,573.0
Metropolitana de Santiago,Lo Prado,Otros países de América Central y El Caribe,306.0
Metropolitana de Santiago,Lo Prado,América del Norte,10.0
Metropolitana de Santiago,Lo Prado,Europa,43.0
Metropolitana de Santiago,Lo Prado,Asia,25.0
Metropolitana de Santiago,Lo Prado,África,4.0
Metropolitana de Santiago,Lo Prado,Oceanía,1.0
Metropolitana de Santiago,Lo Prado,País de nacimiento no declarado,4.0
Metropolitana de Santiago,Macul,Total nacidos fuera del país,17497.0
Metropolitana de Santiago,Macul,Argentina,495.0
Metropolitana de Santiago,Macul,Bolivia (Estado Plurinacional de),228.0
Metropolitana de Santiago,Macul,Colombia,1824.0
Metropolitana de Santiago,Macul,Haití,199.0
Metropolitana de Santiago,Macul,Perú,2092.0
Metropolitana de Santiago,Macul,Venezuela (República Bolivariana de),10893.0
Metropolitana de Santiago,Macul,Otros países de América del Sur,752.0
Metropolitana de Santiago,Macul,Otros países de América Central y El Caribe,467.0
Metropolitana de Santiago,Macul,América del Norte,76.0
Metropolitana de Santiago,Macul,Europa,273.0
Metropolitana de Santiago,Macul,Asia,154.0
Metropolitana de Santiago,Macul,África,23.0
Metropolitana de Santiago,Macul,Oceanía,14.0
Metropolitana de Santiago,Macul,País de nacimiento no declarado,7.0
Metropolitana de Santiago,Maipú,Total nacidos fuera del país,30973.0
Metropolitana de Santiago,Maipú,Argentina,1385.0
Metropolitana de Santiago,Maipú,Bolivia (Estado Plurinacional de),550.0
Metropolitana de Santiago,Maipú,Colombia,3771.0
Metropolitana de Santiago,Maipú,Haití,3034.0
Metropolitana de Santiago,Maipú,Perú,4223.0
Metropolitana de Santiago,Maipú,Venezuela (República Bolivariana de),13674.0
Metropolitana de Santiago,Maipú,Otros países de América del Sur,2475.0
Metropolitana de Santiago,Maipú,Otros países de América Central y El Caribe,754.0
Metropolitana de Santiago,Maipú,América del Norte,151.0
Metropolitana de Santiago,Maipú,Europa,376.0
Metropolitana de Santiago,Maipú,Asia,523.0
Metropolitana de Santiago,Maipú,África,17.0
Metropolitana de Santiago,Maipú,Oceanía,15.0
Metropolitana de Santiago,Maipú,País de nacimiento no declarado,25.0
Metropolitana de Santiago,Ñuñoa,Total nacidos fuera del país,33633.0
Metropolitana de Santiago,Ñuñoa,Argentina,1745.0
Metropolitana de Santiago,Ñuñoa,Bolivia (Estado Plurinacional de),451.0
Metropolitana de Santiago,Ñuñoa,Colombia,2820.0
Metropolitana de Santiago,Ñuñoa,Haití,86.0
Metropolitana de Santiago,Ñuñoa,Perú,2195.0
Metropolitana de Santiago,Ñuñoa,Venezuela (República Bolivariana de),19981.0
Metropolitana de Santiago,Ñuñoa,Otros países de América del Sur,2014.0
Metropolitana de Santiago,Ñuñoa,Otros países de América Central y El Caribe,1365.0
Metropolitana de Santiago,Ñuñoa,América del Norte,484.0
Metropolitana de Santiago,Ñuñoa,Europa,1796.0
Metropolitana de Santiago,Ñuñoa,Asia,531.0
Metropolitana de Santiago,Ñuñoa,África,74.0
Metropolitana de Santiago,Ñuñoa,Oceanía,65.0
Metropolitana de Santiago,Ñuñoa,País de nacimiento no declarado,26.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Total nacidos fuera del país,9522.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Argentina,242.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Bolivia (Estado Plurinacional de),163.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Colombia,1032.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Haití,2306.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Perú,1678.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Venezuela (República Bolivariana de),3426.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Otros países de América del Sur,326.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Otros países de América Central y El Caribe,224.0
Metropolitana de Santiago,Pedro Aguirre Cerda,América del Norte,19.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Europa,52.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Asia,46.0
Metropolitana de Santiago,Pedro Aguirre Cerda,África,2.0
Metropolitana de Santiago,Pedro Aguirre Cerda,Oceanía,2.0
Metropolitana de Santiago,Pedro Aguirre Cerda,País de nacimiento no declarado,4.0
Metropolitana de Santiago,Peñalolén,Total nacidos fuera del país,20141.0
Metropolitana de Santiago,Peñalolén,Argentina,874.0
Metropolitana de Santiago,Peñalolén,Bolivia (Estado Plurinacional de),477.0
Metropolitana de Santiago,Peñalolén,Colombia,2441.0
Metropolitana de Santiago,Peñalolén,Haití,663.0
Metropolitana de Santiago,Peñalolén,Perú,5888.0
Metropolitana de Santiago,Peñalolén,Venezuela (República Bolivariana de),6989.0
Metropolitana de Santiago,Peñalolén,Otros países de América del Sur,1262.0
Metropolitana de Santiago,Peñalolén,Otros países de América Central y El Caribe,640.0
Metropolitana de Santiago,Peñalolén,América del Norte,175.0
Metropolitana de Santiago,Peñalolén,Europa,472.0
Metropolitana de Santiago,Peñalolén,Asia,204.0
Metropolitana de Santiago,Peñalolén,África,12.0
Metropolitana de Santiago,Peñalolén,Oceanía,27.0
Metropolitana de Santiago,Peñalolén,País de nacimiento no declarado,17.0
Metropolitana de Santiago,Providencia,Total nacidos fuera del país,16116.0
Metropolitana de Santiago,Providencia,Argentina,1763.0
Metropolitana de Santiago,Providencia,Bolivia (Estado Plurinacional de),352.0
Metropolitana de Santiago,Providencia,Colombia,1250.0
Metropolitana de Santiago,Providencia,Haití,37.0
Metropolitana de Santiago,Providencia,Perú,1635.0
Metropolitana de Santiago,Providencia,Venezuela (República Bolivariana de),4491.0
Metropolitana de Santiago,Providencia,Otros países de América del Sur,1488.0
Metropolitana de Santiago,Providencia,Otros países de América Central y El Caribe,952.0
Metropolitana de Santiago,Providencia,América del Norte,641.0
Metropolitana de Santiago,Providencia,Europa,2572.0
Metropolitana de Santiago,Providencia,Asia,782.0
Metropolitana de Santiago,Providencia,África,65.0
Metropolitana de Santiago,Providencia,Oceanía,75.0
Metropolitana de Santiago,Providencia,País de nacimiento no declarado,13.0
Metropolitana de Santiago,Pudahuel,Total nacidos fuera del país,16505.0
Metropolitana de Santiago,Pudahuel,Argentina,637.0
Metropolitana de Santiago,Pudahuel,Bolivia (Estado Plurinacional de),475.0
Metropolitana de Santiago,Pudahuel,Colombia,2506.0
Metropolitana de Santiago,Pudahuel,Haití,918.0
Metropolitana de Santiago,Pudahuel,Perú,3623.0
Metropolitana de Santiago,Pudahuel,Venezuela (República Bolivariana de),6346.0
Metropolitana de Santiago,Pudahuel,Otros países de América del Sur,1213.0
Metropolitana de Santiago,Pudahuel,Otros países de América Central y El Caribe,406.0
Metropolitana de Santiago,Pudahuel,América del Norte,46.0
Metropolitana de Santiago,Pudahuel,Europa,106.0
Metropolitana de Santiago,Pudahuel,Asia,199.0
