NOMBRE REGIÓN  RESIDENCIA HABITUAL ACTUAL,NOMBRE COMUNA RESIDENCIA HABITUAL ACTUAL,GRUPO DE EDAD,TOTAL POBLACIÓN NACIDA FUERA DEL PAÍS
LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,80 a 84,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,85 a 89,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,90 a 94,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,95 a 99,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,NANCAGUA,100 o más,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,Total Comuna,69
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,0 a 4,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,5 a 9,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,10 a 14,4
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,15 a 19,5
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,20 a 24,13
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,25 a 29,10
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,30 a 34,13
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,35 a 39,12
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,40 a 44,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,45 a 49,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,50 a 54,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,55 a 59,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,60 a 64,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,65 a 69,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,70 a 74,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,75 a 79,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,80 a 84,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,85 a 89,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,90 a 94,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,95 a 99,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PALMILLA,100 o más,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,Total Comuna,62
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,0 a 4,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,5 a 9,5
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,10 a 14,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,15 a 19,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,20 a 24,4
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,25 a 29,14
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,30 a 34,9
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,35 a 39,7
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,40 a 44,2
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,45 a 49,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,50 a 54,4
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,55 a 59,2
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,60 a 64,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,65 a 69,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,70 a 74,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,75 a 79,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,80 a 84,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,85 a 89,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,90 a 94,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,95 a 99,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PERALILLO,100 o más,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,Total Comuna,97
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,0 a 4,5
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,5 a 9,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,10 a 14,2
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,15 a 19,9
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,20 a 24,15
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,25 a 29,14
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,30 a 34,8
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,35 a 39,13
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,40 a 44,8
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,45 a 49,9
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,50 a 54,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,55 a 59,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,60 a 64,4
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,65 a 69,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,70 a 74,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,75 a 79,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,80 a 84,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,85 a 89,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,90 a 94,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,95 a 99,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PLACILLA,100 o más,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,Total Comuna,34
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,0 a 4,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,5 a 9,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,10 a 14,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,15 a 19,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,20 a 24,12
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,25 a 29,9
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,30 a 34,5
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,35 a 39,4
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,40 a 44,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,45 a 49,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,50 a 54,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,55 a 59,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,60 a 64,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,65 a 69,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,70 a 74,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,75 a 79,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,80 a 84,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,85 a 89,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,90 a 94,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,95 a 99,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,PUMANQUE,100 o más,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,Total Comuna,819
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,0 a 4,17
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,5 a 9,25
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,10 a 14,22
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,15 a 19,25
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,20 a 24,124
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,25 a 29,147
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,30 a 34,149
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,35 a 39,116
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,40 a 44,74
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,45 a 49,41
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,50 a 54,23
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,55 a 59,16
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,60 a 64,8
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,65 a 69,16
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,70 a 74,5
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,75 a 79,3
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,80 a 84,4
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,85 a 89,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,90 a 94,1
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,95 a 99,0
LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,100 o más,2
MAULE,TALCA,Total Comuna,4062
MAULE,TALCA,0 a 4,130
MAULE,TALCA,5 a 9,191
MAULE,TALCA,10 a 14,137
MAULE,TALCA,15 a 19,176
MAULE,TALCA,20 a 24,436
MAULE,TALCA,25 a 29,677
MAULE,TALCA,30 a 34,664
MAULE,TALCA,35 a 39,549
MAULE,TALCA,40 a 44,357
MAULE,TALCA,45 a 49,238
MAULE,TALCA,50 a 54,134
MAULE,TALCA,55 a 59,111
MAULE,TALCA,60 a 64,83
MAULE,TALCA,65 a 69,70
MAULE,TALCA,70 a 74,41
MAULE,TALCA,75 a 79,27
MAULE,TALCA,80 a 84,17
MAULE,TALCA,85 a 89,13
MAULE,TALCA,90 a 94,6
MAULE,TALCA,95 a 99,3
MAULE,TALCA,100 o más,2
MAULE,CONSTITUCIÓN,Total Comuna,307
MAULE,CONSTITUCIÓN,0 a 4,6
MAULE,CONSTITUCIÓN,5 a 9,12
MAULE,CONSTITUCIÓN,10 a 14,8
MAULE,CONSTITUCIÓN,15 a 19,7
MAULE,CONSTITUCIÓN,20 a 24,34
MAULE,CONSTITUCIÓN,25 a 29,53
MAULE,CONSTITUCIÓN,30 a 34,44
MAULE,CONSTITUCIÓN,35 a 39,37
MAULE,CONSTITUCIÓN,40 a 44,35
MAULE,CONSTITUCIÓN,45 a 49,17
MAULE,CONSTITUCIÓN,50 a 54,21
MAULE,CONSTITUCIÓN,55 a 59,9
MAULE,CONSTITUCIÓN,60 a 64,10
MAULE,CONSTITUCIÓN,65 a 69,7
MAULE,CONSTITUCIÓN,70 a 74,3
MAULE,CONSTITUCIÓN,75 a 79,1
MAULE,CONSTITUCIÓN,80 a 84,2
MAULE,CONSTITUCIÓN,85 a 89,1
MAULE,CONSTITUCIÓN,90 a 94,0
MAULE,CONSTITUCIÓN,95 a 99,0
MAULE,CONSTITUCIÓN,100 o más,0
MAULE,CUREPTO,Total Comuna,12
MAULE,CUREPTO,0 a 4,0
MAULE,CUREPTO,5 a 9,2
MAULE,CUREPTO,10 a 14,0
MAULE,CUREPTO,15 a 19,0
MAULE,CUREPTO,20 a 24,0
MAULE,CUREPTO,25 a 29,1
MAULE,CUREPTO,30 a 34,2
MAULE,CUREPTO,35 a 39,2
MAULE,CUREPTO,40 a 44,1
MAULE,CUREPTO,45 a 49,1
MAULE,CUREPTO,50 a 54,1
MAULE,CUREPTO,55 a 59,1
MAULE,CUREPTO,60 a 64,1
MAULE,CUREPTO,65 a 69,0
MAULE,CUREPTO,70 a 74,0
MAULE,CUREPTO,75 a 79,0
MAULE,CUREPTO,80 a 84,0
MAULE,CUREPTO,85 a 89,0
MAULE,CUREPTO,90 a 94,0
MAULE,CUREPTO,95 a 99,0
MAULE,CUREPTO,100 o más,0
MAULE,EMPEDRADO,Total Comuna,6
MAULE,EMPEDRADO,0 a 4,1
MAULE,EMPEDRADO,5 a 9,0
MAULE,EMPEDRADO,10 a 14,1
MAULE,EMPEDRADO,15 a 19,1
MAULE,EMPEDRADO,20 a 24,0
MAULE,EMPEDRADO,25 a 29,1
MAULE,EMPEDRADO,30 a 34,0
MAULE,EMPEDRADO,35 a 39,1
MAULE,EMPEDRADO,40 a 44,1
MAULE,EMPEDRADO,45 a 49,0
MAULE,EMPEDRADO,50 a 54,0
MAULE,EMPEDRADO,55 a 59,0
MAULE,EMPEDRADO,60 a 64,0
MAULE,EMPEDRADO,65 a 69,0
MAULE,EMPEDRADO,70 a 74,0
MAULE,EMPEDRADO,75 a 79,0
MAULE,EMPEDRADO,80 a 84,0
MAULE,EMPEDRADO,85 a 89,0
MAULE,EMPEDRADO,90 a 94,0
MAULE,EMPEDRADO,95 a 99,0
MAULE,EMPEDRADO,100 o más,0
MAULE,MAULE,Total Comuna,482
MAULE,MAULE,0 a 4,12
MAULE,MAULE,5 a 9,27
MAULE,MAULE,10 a 14,24
MAULE,MAULE,15 a 19,26
MAULE,MAULE,20 a 24,57
MAULE,MAULE,25 a 29,69
MAULE,MAULE,30 a 34,63
MAULE,MAULE,35 a 39,65
MAULE,MAULE,40 a 44,56
MAULE,MAULE,45 a 49,22
MAULE,MAULE,50 a 54,17
MAULE,MAULE,55 a 59,12
MAULE,MAULE,60 a 64,14
MAULE,MAULE,65 a 69,5
MAULE,MAULE,70 a 74,8
MAULE,MAULE,75 a 79,1
MAULE,MAULE,80 a 84,2
MAULE,MAULE,85 a 89,1
MAULE,MAULE,90 a 94,1
MAULE,MAULE,95 a 99,0
MAULE,MAULE,100 o más,0
MAULE,PELARCO,Total Comuna,43
MAULE,PELARCO,0 a 4,1
MAULE,PELARCO,5 a 9,1
MAULE,PELARCO,10 a 14,1
MAULE,PELARCO,15 a 19,1
MAULE,PELARCO,20 a 24,9
MAULE,PELARCO,25 a 29,0
MAULE,PELARCO,30 a 34,3
MAULE,PELARCO,35 a 39,7
MAULE,PELARCO,40 a 44,4
MAULE,PELARCO,45 a 49,3
MAULE,PELARCO,50 a 54,2
MAULE,PELARCO,55 a 59,2
MAULE,PELARCO,60 a 64,4
MAULE,PELARCO,65 a 69,1
MAULE,PELARCO,70 a 74,2
MAULE,PELARCO,75 a 79,1
MAULE,PELARCO,80 a 84,1
MAULE,PELARCO,85 a 89,0
MAULE,PELARCO,90 a 94,0
MAULE,PELARCO,95 a 99,0
MAULE,PELARCO,100 o más,0
MAULE,PENCAHUE,Total Comuna,34
MAULE,PENCAHUE,0 a 4,0
MAULE,PENCAHUE,5 a 9,0
MAULE,PENCAHUE,10 a 14,2
MAULE,PENCAHUE,15 a 19,0
MAULE,PENCAHUE,20 a 24,3
MAULE,PENCAHUE,25 a 29,1
MAULE,PENCAHUE,30 a 34,6
MAULE,PENCAHUE,35 a 39,5
MAULE,PENCAHUE,40 a 44,4
MAULE,PENCAHUE,45 a 49,6
MAULE,PENCAHUE,50 a 54,2
MAULE,PENCAHUE,55 a 59,1
MAULE,PENCAHUE,60 a 64,2
MAULE,PENCAHUE,65 a 69,1
MAULE,PENCAHUE,70 a 74,0
MAULE,PENCAHUE,75 a 79,0
MAULE,PENCAHUE,80 a 84,0
MAULE,PENCAHUE,85 a 89,1
MAULE,PENCAHUE,90 a 94,0
MAULE,PENCAHUE,95 a 99,0
MAULE,PENCAHUE,100 o más,0
MAULE,RÍO CLARO,Total Comuna,46
MAULE,RÍO CLARO,0 a 4,0
MAULE,RÍO CLARO,5 a 9,3
MAULE,RÍO CLARO,10 a 14,3
MAULE,RÍO CLARO,15 a 19,2
MAULE,RÍO CLARO,20 a 24,1
MAULE,RÍO CLARO,25 a 29,5
MAULE,RÍO CLARO,30 a 34,8
MAULE,RÍO CLARO,35 a 39,6
MAULE,RÍO CLARO,40 a 44,7
MAULE,RÍO CLARO,45 a 49,2
MAULE,RÍO CLARO,50 a 54,2
MAULE,RÍO CLARO,55 a 59,2
MAULE,RÍO CLARO,60 a 64,1
MAULE,RÍO CLARO,65 a 69,1
MAULE,RÍO CLARO,70 a 74,1
MAULE,RÍO CLARO,75 a 79,1
MAULE,RÍO CLARO,80 a 84,0
MAULE,RÍO CLARO,85 a 89,0
MAULE,RÍO CLARO,90 a 94,1
MAULE,RÍO CLARO,95 a 99,0
MAULE,RÍO CLARO,100 o más,0
MAULE,SAN CLEMENTE,Total Comuna,244
MAULE,SAN CLEMENTE,0 a 4,2
MAULE,SAN CLEMENTE,5 a 9,18
MAULE,SAN CLEMENTE,10 a 14,11
MAULE,SAN CLEMENTE,15 a 19,18
MAULE,SAN CLEMENTE,20 a 24,16
MAULE,SAN CLEMENTE,25 a 29,23
MAULE,SAN CLEMENTE,30 a 34,22
MAULE,SAN CLEMENTE,35 a 39,33
MAULE,SAN CLEMENTE,40 a 44,30
MAULE,SAN CLEMENTE,45 a 49,14
MAULE,SAN CLEMENTE,50 a 54,15
MAULE,SAN CLEMENTE,55 a 59,10
MAULE,SAN CLEMENTE,60 a 64,13
MAULE,SAN CLEMENTE,65 a 69,6
MAULE,SAN CLEMENTE,70 a 74,4
MAULE,SAN CLEMENTE,75 a 79,1
MAULE,SAN CLEMENTE,80 a 84,4
MAULE,SAN CLEMENTE,85 a 89,1
MAULE,SAN CLEMENTE,90 a 94,3
MAULE,SAN CLEMENTE,95 a 99,0
MAULE,SAN CLEMENTE,100 o más,0
MAULE,SAN RAFAEL,Total Comuna,43
MAULE,SAN RAFAEL,0 a 4,2
MAULE,SAN RAFAEL,5 a 9,4
MAULE,SAN RAFAEL,10 a 14,2
MAULE,SAN RAFAEL,15 a 19,1
MAULE,SAN RAFAEL,20 a 24,5
MAULE,SAN RAFAEL,25 a 29,7
MAULE,SAN RAFAEL,30 a 34,2
MAULE,SAN RAFAEL,35 a 39,5
MAULE,SAN RAFAEL,40 a 44,5
MAULE,SAN RAFAEL,45 a 49,2
MAULE,SAN RAFAEL,50 a 54,2
MAULE,SAN RAFAEL,55 a 59,2
MAULE,SAN RAFAEL,60 a 64,0
MAULE,SAN RAFAEL,65 a 69,1
MAULE,SAN RAFAEL,70 a 74,2
MAULE,SAN RAFAEL,75 a 79,1
MAULE,SAN RAFAEL,80 a 84,0
MAULE,SAN RAFAEL,85 a 89,0
MAULE,SAN RAFAEL,90 a 94,0
MAULE,SAN RAFAEL,95 a 99,0
MAULE,SAN RAFAEL,100 o más,0
MAULE,CAUQUENES,Total Comuna,156
MAULE,CAUQUENES,0 a 4,2
MAULE,CAUQUENES,5 a 9,7
MAULE,CAUQUENES,10 a 14,4
MAULE,CAUQUENES,15 a 19,4
MAULE,CAUQUENES,20 a 24,20
MAULE,CAUQUENES,25 a 29,23
MAULE,CAUQUENES,30 a 34,16
MAULE,CAUQUENES,35 a 39,23
MAULE,CAUQUENES,40 a 44,15
MAULE,CAUQUENES,45 a 49,8
MAULE,CAUQUENES,50 a 54,6
MAULE,CAUQUENES,55 a 59,5
MAULE,CAUQUENES,60 a 64,7
MAULE,CAUQUENES,65 a 69,4
MAULE,CAUQUENES,70 a 74,5
MAULE,CAUQUENES,75 a 79,0
MAULE,CAUQUENES,80 a 84,2
MAULE,CAUQUENES,85 a 89,2
MAULE,CAUQUENES,90 a 94,3
MAULE,CAUQUENES,95 a 99,0
MAULE,CAUQUENES,100 o más,0
MAULE,CHANCO,Total Comuna,17
MAULE,CHANCO,0 a 4,1
MAULE,CHANCO,5 a 9,0
MAULE,CHANCO,10 a 14,0
MAULE,CHANCO,15 a 19,0
MAULE,CHANCO,20 a 24,2
MAULE,CHANCO,25 a 29,3
MAULE,CHANCO,30 a 34,2
MAULE,CHANCO,35 a 39,4
MAULE,CHANCO,40 a 44,1
MAULE,CHANCO,45 a 49,0
MAULE,CHANCO,50 a 54,1
MAULE,CHANCO,55 a 59,0
MAULE,CHANCO,60 a 64,0
MAULE,CHANCO,65 a 69,3
MAULE,CHANCO,70 a 74,0
MAULE,CHANCO,75 a 79,0
MAULE,CHANCO,80 a 84,0
MAULE,CHANCO,85 a 89,0
MAULE,CHANCO,90 a 94,0
MAULE,CHANCO,95 a 99,0
MAULE,CHANCO,100 o más,0
MAULE,PELLUHUE,Total Comuna,58
MAULE,PELLUHUE,0 a 4,3
MAULE,PELLUHUE,5 a 9,2
MAULE,PELLUHUE,10 a 14,2
MAULE,PELLUHUE,15 a 19,0
MAULE,PELLUHUE,20 a 24,4
MAULE,PELLUHUE,25 a 29,5
MAULE,PELLUHUE,30 a 34,11
MAULE,PELLUHUE,35 a 39,8
MAULE,PELLUHUE,40 a 44,4
MAULE,PELLUHUE,45 a 49,4
MAULE,PELLUHUE,50 a 54,5
MAULE,PELLUHUE,55 a 59,3
MAULE,PELLUHUE,60 a 64,4
MAULE,PELLUHUE,65 a 69,2
MAULE,PELLUHUE,70 a 74,0
MAULE,PELLUHUE,75 a 79,0
MAULE,PELLUHUE,80 a 84,1
MAULE,PELLUHUE,85 a 89,0
MAULE,PELLUHUE,90 a 94,0
MAULE,PELLUHUE,95 a 99,0
MAULE,PELLUHUE,100 o más,0
MAULE,CURICÓ,Total Comuna,2582
MAULE,CURICÓ,0 a 4,77
MAULE,CURICÓ,5 a 9,102
MAULE,CURICÓ,10 a 14,108
MAULE,CURICÓ,15 a 19,131
MAULE,CURICÓ,20 a 24,268
MAULE,CURICÓ,25 a 29,390
MAULE,CURICÓ,30 a 34,429
MAULE,CURICÓ,35 a 39,347
MAULE,CURICÓ,40 a 44,239
MAULE,CURICÓ,45 a 49,151
MAULE,CURICÓ,50 a 54,101
MAULE,CURICÓ,55 a 59,47
MAULE,CURICÓ,60 a 64,56
MAULE,CURICÓ,65 a 69,36
MAULE,CURICÓ,70 a 74,30
MAULE,CURICÓ,75 a 79,26
MAULE,CURICÓ,80 a 84,19
MAULE,CURICÓ,85 a 89,12
MAULE,CURICÓ,90 a 94,11
MAULE,CURICÓ,95 a 99,0
MAULE,CURICÓ,100 o más,2
MAULE,HUALAÑÉ,Total Comuna,40
MAULE,HUALAÑÉ,0 a 4,0
MAULE,HUALAÑÉ,5 a 9,0
MAULE,HUALAÑÉ,10 a 14,1
MAULE,HUALAÑÉ,15 a 19,0
MAULE,HUALAÑÉ,20 a 24,6
MAULE,HUALAÑÉ,25 a 29,4
MAULE,HUALAÑÉ,30 a 34,4
MAULE,HUALAÑÉ,35 a 39,8
MAULE,HUALAÑÉ,40 a 44,6
MAULE,HUALAÑÉ,45 a 49,3
MAULE,HUALAÑÉ,50 a 54,1
MAULE,HUALAÑÉ,55 a 59,3
MAULE,HUALAÑÉ,60 a 64,1
MAULE,HUALAÑÉ,65 a 69,2
MAULE,HUALAÑÉ,70 a 74,1
MAULE,HUALAÑÉ,75 a 79,0
MAULE,HUALAÑÉ,80 a 84,0
MAULE,HUALAÑÉ,85 a 89,0
MAULE,HUALAÑÉ,90 a 94,0
MAULE,HUALAÑÉ,95 a 99,0
MAULE,HUALAÑÉ,100 o más,0
MAULE,LICANTÉN,Total Comuna,28
MAULE,LICANTÉN,0 a 4,0
MAULE,LICANTÉN,5 a 9,2
MAULE,LICANTÉN,10 a 14,0
MAULE,LICANTÉN,15 a 19,1
MAULE,LICANTÉN,20 a 24,2
MAULE,LICANTÉN,25 a 29,7
MAULE,LICANTÉN,30 a 34,2
MAULE,LICANTÉN,35 a 39,4
MAULE,LICANTÉN,40 a 44,3
MAULE,LICANTÉN,45 a 49,0
MAULE,LICANTÉN,50 a 54,1
MAULE,LICANTÉN,55 a 59,0
MAULE,LICANTÉN,60 a 64,2
MAULE,LICANTÉN,65 a 69,2
MAULE,LICANTÉN,70 a 74,1
MAULE,LICANTÉN,75 a 79,0
MAULE,LICANTÉN,80 a 84,0
MAULE,LICANTÉN,85 a 89,1
MAULE,LICANTÉN,90 a 94,0
MAULE,LICANTÉN,95 a 99,0
MAULE,LICANTÉN,100 o más,0
MAULE,MOLINA,Total Comuna,273
MAULE,MOLINA,0 a 4,7
MAULE,MOLINA,5 a 9,14
MAULE,MOLINA,10 a 14,17
MAULE,MOLINA,15 a 19,20
MAULE,MOLINA,20 a 24,42
MAULE,MOLINA,25 a 29,34
MAULE,MOLINA,30 a 34,35
MAULE,MOLINA,35 a 39,30
MAULE,MOLINA,40 a 44,18
MAULE,MOLINA,45 a 49,20
MAULE,MOLINA,50 a 54,6
MAULE,MOLINA,55 a 59,4
MAULE,MOLINA,60 a 64,7
MAULE,MOLINA,65 a 69,7
MAULE,MOLINA,70 a 74,6
MAULE,MOLINA,75 a 79,1
MAULE,MOLINA,80 a 84,0
MAULE,MOLINA,85 a 89,2
MAULE,MOLINA,90 a 94,1
MAULE,MOLINA,95 a 99,1
MAULE,MOLINA,100 o más,1
MAULE,RAUCO,Total Comuna,56
MAULE,RAUCO,0 a 4,3
MAULE,RAUCO,5 a 9,3
MAULE,RAUCO,10 a 14,3
MAULE,RAUCO,15 a 19,1
MAULE,RAUCO,20 a 24,3
MAULE,RAUCO,25 a 29,10
MAULE,RAUCO,30 a 34,9
MAULE,RAUCO,35 a 39,4
MAULE,RAUCO,40 a 44,7
MAULE,RAUCO,45 a 49,5
MAULE,RAUCO,50 a 54,0
MAULE,RAUCO,55 a 59,0
MAULE,RAUCO,60 a 64,3
MAULE,RAUCO,65 a 69,2
MAULE,RAUCO,70 a 74,2
MAULE,RAUCO,75 a 79,1
MAULE,RAUCO,80 a 84,0
MAULE,RAUCO,85 a 89,0
MAULE,RAUCO,90 a 94,0
MAULE,RAUCO,95 a 99,0
MAULE,RAUCO,100 o más,0
MAULE,ROMERAL,Total Comuna,109
MAULE,ROMERAL,0 a 4,5
MAULE,ROMERAL,5 a 9,7
MAULE,ROMERAL,10 a 14,7
MAULE,ROMERAL,15 a 19,3
MAULE,ROMERAL,20 a 24,8
MAULE,ROMERAL,25 a 29,12
MAULE,ROMERAL,30 a 34,20
MAULE,ROMERAL,35 a 39,15
MAULE,ROMERAL,40 a 44,6
MAULE,ROMERAL,45 a 49,3
MAULE,ROMERAL,50 a 54,2
MAULE,ROMERAL,55 a 59,3
MAULE,ROMERAL,60 a 64,2
MAULE,ROMERAL,65 a 69,3
MAULE,ROMERAL,70 a 74,3
MAULE,ROMERAL,75 a 79,7
MAULE,ROMERAL,80 a 84,2
MAULE,ROMERAL,85 a 89,1
MAULE,ROMERAL,90 a 94,0
MAULE,ROMERAL,95 a 99,0
MAULE,ROMERAL,100 o más,0
MAULE,SAGRADA FAMILIA,Total Comuna,92
MAULE,SAGRADA FAMILIA,0 a 4,1
MAULE,SAGRADA FAMILIA,5 a 9,1
MAULE,SAGRADA FAMILIA,10 a 14,1
MAULE,SAGRADA FAMILIA,15 a 19,3
MAULE,SAGRADA FAMILIA,20 a 24,7
