y1,y11,y20amonto,y29_2b,sexo,region,esc,oficio1
,,,400000.0,2,14,17.0,
500000.0,,,,1,14,16.0,2.0
,,,,2,14,19.0,3.0
,,,,2,14,,
,,,214296.0,2,14,6.0,
,,,214296.0,2,14,6.0,
250000.0,,,,2,14,7.0,9.0
400000.0,,,,1,14,9.0,8.0
,,,,2,14,12.0,
,,,1000000.0,1,14,12.0,
650000.0,,,,2,14,15.0,3.0
,,,,1,14,12.0,
550000.0,,,,2,14,12.0,5.0
,,,,2,14,10.0,
275000.0,,,,2,14,13.0,9.0
,,21243.0,,1,14,,
,,,,1,14,11.0,
600000.0,,,,2,14,15.0,3.0
,,,,2,14,9.0,
,,,400000.0,1,14,6.0,
,,,214296.0,2,14,6.0,
,,,,2,14,12.0,8.0
,,21243.0,,2,14,,
,,21243.0,,2,14,,
,,,,1,14,,
460000.0,,,,1,14,12.0,9.0
200000.0,,,,2,14,10.0,9.0
480000.0,,,,1,14,12.0,5.0
,,,,2,14,12.0,
300000.0,,,,1,14,18.0,3.0
,,21243.0,,2,14,10.0,
,,21243.0,,2,14,,
,,21243.0,,2,14,,
,,21243.0,,1,14,,
,,,,2,14,8.0,
,,,300000.0,2,14,0.0,
,,,,2,14,16.0,
600000.0,,,,1,14,12.0,7.0
,,,,2,14,,
,,,,1,14,,
,359100.0,,,2,14,12.0,
393750.0,,,,2,14,12.0,5.0
,,21243.0,,2,14,,
393750.0,,,,1,14,5.0,5.0
,,,,2,14,10.0,
,,,214296.0,2,14,6.0,
,,,,2,14,15.0,5.0
,,,,1,14,12.0,9.0
,,,,1,14,10.0,
1000000.0,,,,1,14,12.0,5.0
450000.0,,,,2,14,12.0,4.0
60000.0,,,,2,14,15.0,5.0
,,,,1,14,10.0,
600000.0,,,,1,14,12.0,7.0
,,,,2,14,12.0,9.0
,,,,1,14,11.0,
0.0,,,,2,14,15.0,3.0
500000.0,,,,2,14,12.0,7.0
,,,,2,14,11.0,
,,,,1,14,11.0,7.0
,,,,1,14,,
,,,214296.0,2,14,8.0,
,,,,1,14,14.0,
420000.0,,,,2,14,12.0,5.0
750000.0,,,,1,14,16.0,3.0
500000.0,,,,2,14,14.0,5.0
,,,,1,14,,
,,,,2,14,,
,,,,1,14,,
500000.0,,,,2,14,12.0,5.0
,,,,1,14,,
,,,214296.0,1,14,6.0,8.0
,,,,2,14,7.0,
,,,,2,14,12.0,5.0
,,,,1,14,12.0,5.0
,,21243.0,,1,14,11.0,
,,21243.0,,1,14,,
180000.0,,,,1,14,4.0,9.0
,,,,1,14,12.0,7.0
,,,,2,14,3.0,
,,,,1,14,9.0,
520000.0,,,,2,14,14.0,7.0
,,,,2,14,,
,,,,2,14,14.0,7.0
,,,,2,14,1.0,9.0
,,,,1,14,12.0,
,,,214296.0,2,14,12.0,
,,,214296.0,2,14,4.0,
,,,,2,14,6.0,
,,21243.0,,2,14,9.0,
,,,,2,14,8.0,9.0
,,,,2,14,12.0,
,,21243.0,,2,14,,
,,21243.0,,1,14,,
,,,,1,14,1.0,6.0
,,,,2,14,6.0,
550000.0,,,300000.0,1,14,7.0,9.0
223000.0,,,,2,14,12.0,5.0
,,,,2,14,12.0,
,,,,1,14,13.0,
,,,,2,14,7.0,6.0
300000.0,,,,1,14,8.0,9.0
,,,,2,14,,
,,,214296.0,2,14,2.0,
,,,,2,14,1.0,
,,,214296.0,1,14,7.0,9.0
440000.0,,,,2,14,13.0,3.0
,,21243.0,,2,14,,
500000.0,,,,1,14,8.0,8.0
,,,,2,14,1.0,
520000.0,,,,1,14,5.0,6.0
,270000.0,,,1,14,6.0,
900000.0,,,,1,14,8.0,8.0
,,,,2,14,12.0,7.0
,,,,1,14,12.0,
,,,214296.0,1,14,1.0,
500000.0,,,,1,14,6.0,6.0
,,,,2,14,6.0,
,,,,1,14,12.0,
,,,,1,14,11.0,
,,,,2,14,8.0,
450000.0,,,,1,14,5.0,6.0
,,,,1,14,,
,,21243.0,,1,14,,
1000000.0,,,,1,14,17.0,2.0
,,,,1,14,15.0,3.0
,,,,2,14,12.0,
600000.0,,,,1,14,12.0,5.0
,,,,2,14,,
,,,,1,14,14.0,
,,,253000.0,2,14,12.0,5.0
800000.0,,,,2,14,13.0,3.0
,,,,1,14,12.0,9.0
,,,,1,14,11.0,
,,,,1,14,,
,,,,2,14,17.0,
360000.0,,,,1,14,12.0,4.0
400000.0,,,,2,14,12.0,4.0
,,,,2,14,17.0,
,,,,2,14,,
400000.0,,,300000.0,2,14,12.0,3.0
500000.0,,,,2,14,12.0,5.0
300000.0,,,,1,14,17.0,2.0
500000.0,,,,1,14,17.0,5.0
,,,345000.0,1,14,11.0,
600000.0,,,150000.0,2,14,12.0,5.0
,,,,1,14,11.0,
,,,,2,14,10.0,
700000.0,,,,2,14,16.0,2.0
500000.0,,,,2,14,15.0,1.0
500000.0,,,,1,14,14.0,5.0
,,,,2,14,,
,,,,1,14,,
,,,103000.0,1,14,17.0,
,,,214296.0,2,14,17.0,
500000.0,,,,1,14,12.0,6.0
500000.0,,,,2,14,12.0,3.0
,,,,2,14,9.0,
,,,220000.0,1,14,7.0,
500000.0,,,,2,14,15.0,3.0
,,,214296.0,1,14,10.0,
800000.0,,,,1,14,12.0,8.0
,,,,2,14,12.0,
,,,,2,14,16.0,
,,,,1,14,8.0,
,,,,2,14,6.0,
500000.0,,,,1,14,12.0,7.0
,,,,2,14,12.0,
,,,,2,14,,
,,,,2,14,,
,,,,2,14,6.0,
600000.0,,,,1,14,11.0,9.0
,,,,2,14,8.0,
,,,,1,14,,
