folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita
276390701.0,2024,14,40,4,4,55.25,83,0.0,0.25,0,1,10.5,7,1.0,0.25,0.5,0.0,600000,650000,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,83,7,7,5.0,1,2,0.0,0.0,1.3333333333333333,1656000,414000.0
276390801.0,2024,14,32,3,3,69.33333333333333,80,0.0,0.6666666666666666,0,1,10.333333333333334,8,1.0,0.0,0.6666666666666666,1.0,1200000,0,0.0,1,3,2,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,77,1,8,6.0,1,2,0.0,0.0,0.75,1682000,560666.6666666666
277880101.0,2024,14,38,3,3,56.333333333333336,67,0.0,0.3333333333333333,0,1,8.333333333333334,7,1.0,0.0,0.6666666666666666,1.0,600000,300000,0.0,2,3,1,1,1,1,2.0,2.0,0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,1,67,1,7,8.0,1,1,0.0,0.0,1.5,1480000,493333.3333333333
277880201.0,2024,14,31,2,2,70.5,74,0.0,1.0,0,1,7.5,7,1.0,0.0,0.0,0.0,0,0,0.0,2,2,3,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,1.0,0,0.0,0,0,0.0,14101,Valdivia,1,74,1,8,4.0,1,2,0.0,0.0,1.0,700000,350000.0
277880301.0,2024,14,30,2,2,42.5,58,0.0,0.0,0,0,13.0,13,1.0,0.0,0.5,1.0,1100000,0,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,58,8,13,5.0,1,2,1.0,1100000.0,0.6666666666666666,1100000,550000.0
277880401.0,2024,14,43,3,3,68.33333333333333,80,0.0,0.6666666666666666,0,1,9.666666666666666,8,1.0,0.3333333333333333,0.0,0.0,0,0,0.0,1,3,1,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1.0,0,0.0,0,0,0.0,14101,Valdivia,1,79,1,8,2.0,1,2,0.0,0.0,1.0,480000,160000.0
277880501.0,2024,14,25,1,1,66.0,66,0.0,1.0,0,1,7.0,7,1.0,0.0,0.0,0.0,0,0,0.0,1,4,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14101,Valdivia,2,66,7,7,8.0,1,2,0.0,0.0,0.25,0,0.0
277880601.0,2024,14,30,4,4,71.0,88,0.0,0.5,0,1,7.5,6,0.5,0.0,0.5,1.0,250000,50000,0.0,1,3,2,1,1,1,4.0,4.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0,0.0,0,0,1.0,14101,Valdivia,1,88,1,6,2.0,3,2,0.0,0.0,1.0,812000,203000.0
277880701.0,2024,14,56,5,5,9.8,27,0.8,0.0,1,0,5.4,2,1.0,0.8,1.0,1.0,280000,0,0.0,1,3,3,1,1,2,2.0,2.0,0,0.0,1.0,0.0,0,0.0,0,1.0,1.0,1.0,0,0.0,1,0,1.0,14101,Valdivia,2,27,1,7,8.0,1,1,1.0,280000.0,2.5,280000,56000.0
277880801.0,2024,14,32,2,2,68.5,71,0.0,1.0,0,1,8.5,8,1.0,0.0,0.0,0.0,0,0,0.0,1,2,2,1,1,1,2.0,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,1.0,0,0.0,0,0,0.0,14101,Valdivia,2,66,1,9,4.0,1,2,0.0,0.0,2.0,623000,311500.0
