folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita,idx_educacion,idx_vivienda,idx_composicion,idx_ingresos
405590601.0,2024,14,26,5,5,35.0,55,0.2,0.0,1,0,7.8,7,1.0,0.4,0.25,0.0,400000,0,0.0,1,4,2,5,1,1,4.0,4.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,14103,Lanco,2,45,2,7,6.0,1,2,0.0,0.0,1.25,400000,80000.0,0.5059122705686049,0.487359943977591,0.22777777777777777,0.801498769154476
405590701.0,2024,14,25,1,1,60.0,60,0.0,0.0,0,0,9.0,9,1.0,0.0,1.0,1.0,500000,0,0.0,1,3,1,5,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,60,8,9,4.0,1,1,1.0,500000.0,0.3333333333333333,500000,500000.0,0.5445706584520601,0.4583800186741363,0.0,0.4806966494626626
405590801.0,2024,14,21,5,5,33.6,78,0.4,0.2,1,1,9.0,7,1.0,0.6,0.3333333333333333,1.0,470000,0,0.0,1,3,3,5,1,2,4.0,4.0,0,0.0,1.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,78,8,7,3.0,1,2,0.0,0.0,1.25,684296,136859.2,0.4688053523296111,0.44569327731092434,0.5177777777777778,0.6169421947178017
405590901.0,2024,14,36,1,1,33.0,33,0.0,0.0,0,0,9.0,9,1.0,0.0,1.0,0.0,150000,0,0.0,1,3,1,5,1,2,3.0,3.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,1.0,0,0.0,1,0,1.0,14103,Lanco,1,33,8,9,2.0,1,1,3.0,150000.0,0.3333333333333333,150000,150000.0,0.5445706584520601,0.437546685340803,0.0,0.6670595174297596
405591001.0,2024,14,19,4,4,15.25,33,0.75,0.0,1,0,7.5,7,1.0,0.75,1.0,0.0,0,100000,0.0,1,3,1,5,1,2,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,1.0,0,0.0,1,0,0.0,14103,Lanco,2,33,8,9,4.0,1,1,0.0,0.0,1.3333333333333333,100000,25000.0,0.4451209729174688,0.45855508870214745,0.3208333333333333,0.6805692819749889
406610301.0,2024,14,28,2,2,65.0,68,0.0,0.5,0,1,9.0,9,1.0,0.0,0.0,0.0,0,0,0.0,1,3,2,1,1,1,4.0,4.0,0,0.0,0.0,1.0,0,0.0,1,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,62,1,9,4.0,1,2,0.0,0.0,0.5,350000,175000.0,0.5445706584520601,0.33965919701213815,0.34444444444444444,0.8406872889679958
406610401.0,2024,14,25,2,2,70.0,76,0.0,0.5,0,1,7.5,7,1.0,0.0,0.0,0.0,0,0,0.0,1,3,2,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,76,1,8,4.0,1,2,0.0,0.0,1.0,220000,110000.0,0.5718216531895778,0.3723856209150327,0.34444444444444444,0.8436986526043594
406610501.0,2024,14,29,3,3,47.333333333333336,63,0.0,0.0,0,0,9.666666666666666,7,1.0,0.3333333333333333,0.3333333333333333,1.0,500000,0,0.0,1,3,2,1,1,1,3.0,3.0,0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,63,1,7,8.0,1,2,0.0,0.0,1.0,500000,166666.66666666666,0.5111533607153554,0.3612745098039216,0.08888888888888888,0.6175156689213759
406610601.0,2024,14,28,1,1,85.0,85,0.0,1.0,0,1,6.0,6,0.0,0.0,0.0,0.0,0,0,0.0,1,3,2,1,1,1,2.0,2.0,0,0.0,1.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,85,5,6,2.0,4,2,0.0,0.0,0.5,0,0.0,0.8195233281992041,0.36188141923436046,0.4,0.8487948064505133
406610701.0,2024,14,35,3,3,36.333333333333336,55,0.0,0.0,0,0,8.333333333333334,7,1.0,0.3333333333333333,0.3333333333333333,1.0,500000,0,0.0,1,3,2,1,1,1,2.0,2.0,0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,55,2,7,8.0,1,2,0.0,0.0,1.5,500000,166666.66666666666,0.5153462328327558,0.3828898225957049,0.08888888888888888,0.6175156689213759
406610801.0,2024,14,28,2,2,85.0,91,0.0,1.0,0,1,7.0,7,1.0,0.0,0.5,0.0,0,0,0.0,1,3,2,1,1,1,3.0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,79,1,7,7.0,1,1,0.0,0.0,0.6666666666666666,428592,214296.0,0.5750946605057118,0.3542717086834734,0.4444444444444445,0.755533424166131
