folio,año,region,expr,tam_hogar,n_personas,edad_prom,edad_max,prop_menores_15,prop_may_65,hay_menores_15,hay_adulto_mayor,edu_nivel_prom,edu_nivel_min,prop_alfabetos,prop_asiste_edu,prop_ocupados,prop_con_contrato,ingreso_sueldos,ingreso_indep,atendido_salud,tipo_vivienda,material_muros,estado_muros,fuente_agua,sist_excretas,tiene_electricid,n_dormitorios,dormitorios_hogar,d_asistencia_esc,d_rezago_esc,d_escolaridad,d_atencion_salud,d_ocupacion,d_seg_social,d_jubilaciones,d_hacinamiento,d_estado_viv,d_serv_basicos,d_contaminacion,d_accesibilidad,d_trato_igual,d_seguridad,pobreza_multi,cod_comuna,comuna,sexo_jefe,edad_jefe,ecivil_jefe,edu_nivel_jefe,edu_curso_jefe,alfabeto_jefe,ocupado_jefe,contrato_jefe,ingreso_jefe,hacinamiento_idx,ingreso_total_hogar,ingreso_percapita,idx_educacion,idx_vivienda,idx_composicion,idx_ingresos,cluster
1410310120301.0,2017,14,57,1,1,76.0,76,0.0,1.0,0,1,6.0,6,1.0,0.0,1.0,0.0,0,200000,0.0,2,3,1,1,1,1,2.0,2.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,76,8,6,3.0,1,1,0.0,0.0,0.5,200000,200000.0,0.7570233281992041,0.31018407362945183,0.3333333333333333,0.7545987272155075,4.0
1410310120401.0,2017,14,73,3,3,46.66666666666666,60,0.0,0.0,0,0,5.666666666666667,1,0.6666666666666666,0.0,0.6666666666666666,1.0,370000,0,0.3333333333333333,2,3,1,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,60,1,1,4.0,4,1,1.0,270000.0,1.0,370000,123333.33333333331,0.8117138364779874,0.30966386554621855,0.07407407407407407,0.6616976062141894,4.0
1410310120501.0,2017,14,56,3,3,56.333333333333336,77,0.0,0.6666666666666666,0,1,9.333333333333334,7,1.0,0.3333333333333333,0.0,0.0,0,0,0.6666666666666666,1,3,2,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,77,2,7,6.0,1,2,0.0,0.0,1.0,0,0.0,0.6788682454113721,0.38109243697478995,0.35185185185185186,0.886596104837885,4.0
1410310120601.0,2017,14,82,4,4,24.0,42,0.5,0.0,1,0,10.75,7,1.0,0.5,1.0,0.0,900000,300000,0.0,1,3,1,2,1,2,3.0,3.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,42,2,15,5.0,1,1,3.0,900000.0,1.3333333333333333,1200000,300000.0,0.6330300988319856,0.32161864745898355,0.3819444444444444,0.7118256801726882,2.0
1410310120801.0,2017,14,48,2,2,71.5,87,0.0,0.5,0,1,4.5,2,1.0,0.0,0.5,0.0,0,100000,0.5,1,3,1,2,1,2,4.0,4.0,0,0.0,1.0,0.0,0,1.0,0,0.0,0.0,0.0,0,0.0,0,0,1.0,14103,Lanco,2,56,8,7,8.0,1,1,0.0,0.0,0.5,100000,50000.0,0.8017062957258375,0.2970888355342137,0.28703703703703703,0.8217337796630598,4.0
1410310120901.0,2017,14,51,1,1,80.0,80,0.0,1.0,0,1,1.0,1,1.0,0.0,0.0,0.0,0,0,1.0,2,3,1,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,1,0,0.0,14103,Lanco,2,80,8,1,4.0,1,2,0.0,0.0,0.3333333333333333,0,0.0,0.8333333333333334,0.2976590636254502,0.3333333333333333,0.886596104837885,4.0
1410310121001.0,2017,14,47,1,1,79.0,79,0.0,1.0,0,1,7.0,7,1.0,0.0,0.0,0.0,0,0,1.0,1,3,2,1,1,1,3.0,3.0,0,0.0,1.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,1,0,0.0,14103,Lanco,2,79,7,7,4.0,1,2,0.0,0.0,0.3333333333333333,0,0.0,0.7417613271723784,0.36908763505402165,0.3333333333333333,0.886596104837885,4.0
1410310130101.0,2017,14,59,2,2,67.5,69,0.0,1.0,0,1,9.0,8,1.0,0.0,0.5,1.0,0,0,0.0,1,3,1,1,1,1,4.0,4.0,0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,1,66,1,8,2.0,1,1,1.0,0.0,0.5,0,0.0,0.7233546720575023,0.29113645458183274,0.3703703703703704,0.6978074450440707,2.0
1410310130201.0,2017,14,78,4,4,31.0,56,0.25,0.0,1,0,7.75,3,1.0,0.5,0.6666666666666666,0.0,0,320000,0.0,1,3,2,1,1,1,2.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,14103,Lanco,2,46,1,7,8.0,1,1,0.0,0.0,2.0,320000,80000.0,0.6977361699396739,0.4086234493797519,0.3298611111111111,0.797521512763293,4.0
1410310130301.0,2017,14,88,5,5,16.2,35,0.6,0.0,1,0,6.2,1,1.0,0.0,1.0,0.0,0,700000,0.0,1,3,2,1,1,1,2.0,2.0,1,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0,0,1.0,14103,Lanco,1,35,2,14,3.0,1,1,0.0,0.0,2.5,700000,140000.0,0.7948722885380567,0.4176270508203281,0.4398148148148149,0.7498325558868361,2.0
