id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion,dormitorios_estimados,personas_hogar,indice_hacinamiento,f_A,clasificacion,precio_m2
189,casa,venta,Valdivia,165000000.0,161.0,"Collico, Valdivia",8,2.9,0.36,1,Sin hacinamiento,1024844.7204968944
190,casa,venta,Valdivia,290000000.0,156.0,"Esquina Estocolmo V Europa, Sur De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,1858974.358974359
191,casa,venta,Valdivia,244000000.0,220.0,"Conde De Castellar, Niebla, Valdivia, Niebla, Valdivia",11,2.9,0.26,1,Sin hacinamiento,1109090.9090909092
192,casa,venta,Valdivia,416000000.0,200.0,"Pasaje Doctor Jorge Sabat G., Valdivia",10,2.9,0.29,1,Sin hacinamiento,2080000.0
193,casa,venta,Valdivia,396000000.0,128.0,"Bueras 309, Sur De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,3093750.0
194,casa,venta,Valdivia,63000000.0,69.0,"Santa Rebeca/ Santa Adela ( Gimnasio San Pedro )., Sur De Valdivia, Valdivia",3,2.9,0.97,1,Sin hacinamiento,913043.4782608695
195,casa,venta,Valdivia,88000000.0,36.0,"7W77+H7, Valdivia, Valdivia",1,2.9,2.9,2,Hacinamiento medio,2444444.4444444445
196,casa,venta,Valdivia,480000000.0,500.0,"T-301 25, Valdivia, Los Ríos, Chile, Valdivia",25,2.9,0.12,1,Sin hacinamiento,960000.0
197,casa,venta,Valdivia,610000000.0,342.0,"T-302 17, Valdivia, Los Ríos, Chile, Valdivia",17,2.9,0.17,1,Sin hacinamiento,1783625.7309941521
198,casa,venta,Valdivia,960000000.0,345.0,"Pintora Irma Meisner, Valdivia, Isla Teja, Valdivia",17,2.9,0.17,1,Sin hacinamiento,2782608.695652174
199,casa,venta,Valdivia,380000000.0,140.0,"Condominio Los Arrayanes, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2714285.714285714
200,casa,venta,Valdivia,364000000.0,140.0,"Pintor Ricardo Anwandter, Isla Teja, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2600000.0
201,casa,venta,Valdivia,230000000.0,150.0,"Las Mulatas 360, Valdivia, Sur De Valdivia, Valdivia",7,2.9,0.41,1,Sin hacinamiento,1533333.3333333333
202,casa,venta,Valdivia,388800000.0,200.0,"Caleta El Piojo, Niebla, Valdivia",10,2.9,0.29,1,Sin hacinamiento,1944000.0
203,casa,venta,Valdivia,130000000.0,110.0,"Parque Torreones, Valdivia",5,2.9,0.58,1,Sin hacinamiento,1181818.1818181819
205,casa,venta,Valdivia,500000000.0,214.0,"Errázuriz N°1948 Valdivia, Campo Militar De Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,2336448.5981308413
206,casa,venta,Valdivia,320000000.0,140.0,"Los Robles 985, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,2285714.285714286
207,casa,venta,Valdivia,125000000.0,64.0,Valdivia,3,2.9,0.97,1,Sin hacinamiento,1953125.0
208,casa,venta,Valdivia,290000000.0,219.0,"Estacionamiento - Av. Simpson 1502, 5090126 Valdivia, Los Ríos, Chile, Campo Militar De Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,1324200.9132420092
209,casa,venta,Valdivia,175000000.0,180.0,"Casa Blanca, Valdivia",9,2.9,0.32,1,Sin hacinamiento,972222.2222222222
210,casa,venta,Valdivia,225000000.0,110.0,"Gastón Da Bove Olave 611, Valdivia, Sur De Valdivia, Valdivia",5,2.9,0.58,1,Sin hacinamiento,2045454.5454545454
211,casa,venta,Valdivia,227000000.0,137.0,"C. Gregorio Henríquez Y Santillán 769, Valdivia, Sur De Valdivia, Valdivia",6,2.9,0.48,1,Sin hacinamiento,1656934.306569343
212,casa,venta,Valdivia,130000000.0,75.0,"Brisas De La Ribera, Valdivia, Las Animas, Valdivia",3,2.9,0.97,1,Sin hacinamiento,1733333.3333333333
213,casa,venta,Valdivia,261200000.0,250.0,"Av. España 703, Valdivia, Las Animas, Valdivia",12,2.9,0.24,1,Sin hacinamiento,1044800.0
214,casa,venta,Valdivia,225000000.0,188.0,"Aguas Del Obispo, Valdivia",9,2.9,0.32,1,Sin hacinamiento,1196808.5106382978
215,casa,venta,Valdivia,548000000.0,294.0,"Camino Valdivia A Niebla, Niebla, Valdivia",14,2.9,0.21,1,Sin hacinamiento,1863945.5782312925
216,casa,venta,Valdivia,125000000.0,70.0,"María Isabel Riquelme, Valdivia, Las Animas, Valdivia",3,2.9,0.97,1,Sin hacinamiento,1785714.2857142857
217,casa,venta,Valdivia,480000000.0,146.0,"Isla Teja - Los Robles, Isla Teja, Valdivia",7,2.9,0.41,1,Sin hacinamiento,3287671.2328767125
218,casa,venta,Valdivia,65000000.0,50.0,"San Martín 2760, Valdivia, Sur De Valdivia, Valdivia",2,2.9,1.45,1,Sin hacinamiento,1300000.0
219,casa,venta,Valdivia,158000000.0,118.0,"Sector Tres Espinos, Valdivia",5,2.9,0.58,1,Sin hacinamiento,1338983.0508474577
220,casa,venta,Valdivia,756000000.0,250.0,"5M3Q+57 Valdivia, Chile, Valdivia",12,2.9,0.24,1,Sin hacinamiento,3024000.0
221,casa,venta,Valdivia,130000000.0,200.0,"Errázuriz 2661, Sur De Valdivia, Valdivia",10,2.9,0.29,1,Sin hacinamiento,650000.0
