id,tipo,modalidad,comuna,precio,m2_utiles,ubicacion
140,casa,arriendo,Panguipulli,320.000,273 m² útiles,"Panguipulli, Lago Calafquén"
141,casa,arriendo,Panguipulli,350.000,180 m² útiles,"Panguipulli, Lago Panguipulli"
142,casa,arriendo,Panguipulli,380.000,298 m² útiles,"Chile, Panguipulli"
143,casa,arriendo,Panguipulli,600.000,600 m² útiles,"Panguipulli, Lago Panguipulli"
144,casa,arriendo,Panguipulli,240000,26 m² útiles,Panguipulli
145,casa,arriendo,Panguipulli,370.000,160 m² útiles,"Panguipulli, Lago Panguipulli"
146,casa,arriendo,Panguipulli,490.000,360 m² útiles,"Panguipulli, Lago Panguipulli"
147,casa,arriendo,Panguipulli,330.000,260 m² útiles,"Panguipulli, Lago Panguipulli"
148,casa,arriendo,Paillaco,550.000,120 m² útiles,"T-625, Santa Laura, Futrono, Chile, Paillaco"
149,casa,venta,Valdivia,660000000,155 m² útiles,"6QH2+5Q Cabo Blanco, Valdivia, Chile, Valdivia"
150,casa,venta,Valdivia,420000000,275 m² útiles,"Andalién 469, 5090683 Valdivia, Los Ríos, Chile, Sur De Valdivia, Valdivia"
151,casa,venta,Valdivia,354000000,155 m² útiles,"Valdivia, Chile, Centro De Valdivia, Valdivia"
152,casa,venta,Valdivia,560000000,200 m² útiles,"Los Helechos 735, 5110171 Valdivia, Los Ríos, Chile, Isla Teja, Valdivia"
153,casa,venta,Valdivia,295.000.000,N/D,"Angachilla, Valdivia, Valdivia"
154,casa,venta,Valdivia,756000000,280 m² útiles,"Valdivia, Centro De Valdivia"
155,casa,venta,Valdivia,296000000,218 m² útiles,"7WH2+MR, Valdivia, Valdivia"
156,casa,venta,Valdivia,759800000,350 m² útiles,"Cam. De Luna 250, 5110062 Valdivia, Los Ríos, Chile, Isla Teja, Valdivia"
157,casa,venta,Valdivia,532000000,280 m² útiles,"Torobayo, Torobayo, Valdivia"
158,casa,venta,Valdivia,67.500.000,88 m² útiles,"POBLACIÓN SAN PABLO, Sur De Valdivia, Valdivia"
159,casa,venta,Valdivia,496000000,190 m² útiles,"Condominio El Bayo 23, Valdivia, Los Ríos, Chile, Torobayo, Valdivia"
160,casa,venta,Valdivia,343600000,165 m² útiles,"Rebellín, Valdivia, Valdivia"
161,casa,venta,Valdivia,320.000.000,N/D,"Vicente Caballero, Niebla, Valdivia"
162,casa,venta,Valdivia,244000000,105 m² útiles,"19 De Junio, Valdivia, Las Animas, Valdivia"
163,casa,venta,Valdivia,145.000.000,190 m² útiles,"Colo Colo, Sur De Valdivia, Valdivia"
164,casa,venta,Valdivia,260000000,125 m² útiles,"Carlos Anwandter, Centro De Valdivia, Valdivia"
165,casa,venta,Valdivia,520000000,230 m² útiles,"P519 - Ruta - T-350, Valdivia, Los Ríos, Chile, Torobayo, Valdivia"
166,casa,venta,Valdivia,290.000.000,160 m² útiles,"Santa Ana Cayumapu, Valdivia"
167,casa,venta,Valdivia,400.000.000,5.000 m² útiles,"Av. Balmaceda 8500, Valdivia, Los Ríos, Chile, Valdivia"
168,casa,venta,Valdivia,380000000,186 m² útiles,"Torobayo, Torobayo, Valdivia"
169,casa,venta,Valdivia,315.000.000,150 m² útiles,"7VHW+4R Cayumapu, Valdivia, Chile, Valdivia"
170,casa,venta,Valdivia,400.000.000,340 m² útiles,"Altos Del Rebellín, Parcela 7, Valdivia"
171,casa,venta,Valdivia,1000000000,825 m² útiles,"Gral Lagos 1845, Valdivia, Sur De Valdivia, Valdivia"
172,casa,venta,Valdivia,381600000,139 m² útiles,"Ruta T.350 4800 - 5100 Valdivia, Valdivia"
173,casa,venta,Valdivia,520000000,145 m² útiles,"Condominio El Bayo, Valdivia, Torobayo, Valdivia"
