y1,y11,y20amonto,y26_2c,y26_1amonto,sexo,region,esc,estrato,oficio1_88,oficio1,y29_2b
270000.0,,,,,1,14,16.0,141011,2.0,2331.0,0.0
,0.0,,,,2,14,0.0,141011,,,0.0
270000.0,,,,,1,14,16.0,141011,2.0,2331.0,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
340000.0,,,,,2,14,14.0,141011,3.0,3231.0,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,0.0,,,,1,14,9.0,141011,,,0.0
0.0,,,,,1,14,12.0,141011,8.0,8322.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,0.0,,,,2,14,9.0,141011,,,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,,,152000.0,,2,14,12.0,141011,1.0,1315.0,152000.0
,,,,,1,14,16.0,141011,1.0,1315.0,0.0
,0.0,,,104646.0,1,14,9.0,141011,,,104646.0
,0.0,,,104646.0,2,14,9.0,141011,,,104646.0
,0.0,,,104646.0,2,14,12.0,141011,,,104646.0
,,,,,2,14,12.0,141011,5.0,5141.0,0.0
,,,,,2,14,13.0,141011,5.0,5141.0,0.0
,,,,,1,14,,141011,,,0.0
1300000.0,,,,,2,14,16.0,141011,2.0,2320.0,0.0
500000.0,,,,,1,14,16.0,141011,3.0,3228.0,0.0
,0.0,,,,2,14,7.0,141011,,,0.0
,0.0,,180000.0,,1,14,12.0,141011,,,180000.0
,,,,,2,14,12.0,141011,3.0,3231.0,0.0
,800000.0,,,,1,14,17.0,141011,,,0.0
300000.0,,,,,2,14,17.0,141011,8.0,8322.0,0.0
,,,,,2,14,,141011,,,0.0
1000000.0,,,,,1,14,19.0,141011,2.0,2445.0,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,114500.0,,2,14,17.0,141011,,,114500.0
,0.0,,,,2,14,14.0,141011,,,0.0
,0.0,,,,1,14,0.0,141011,,,0.0
,0.0,,,,1,14,11.0,141011,,,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
,,,,,1,14,17.0,141011,1.0,1313.0,0.0
270000.0,,,,104646.0,2,14,,141011,4.0,4122.0,104646.0
680000.0,,,,,1,14,17.0,141011,2.0,2419.0,0.0
,0.0,,750000.0,,1,14,17.0,141011,,,750000.0
,0.0,,100000.0,,2,14,17.0,141011,,,100000.0
,0.0,,950000.0,,1,14,19.0,141011,,,950000.0
1500000.0,,,,,2,14,17.0,141011,2.0,2310.0,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,0.0,,700000.0,,1,14,19.0,141011,,,700000.0
,0.0,,600000.0,,2,14,19.0,141011,,,600000.0
,0.0,,700000.0,,1,14,20.0,141011,,,700000.0
,0.0,,500000.0,,2,14,18.0,141011,,,500000.0
,0.0,,110000.0,,2,14,18.0,141011,,,110000.0
,,,,,1,14,17.0,141011,1.0,1314.0,0.0
1200000.0,,,,,1,14,17.0,141011,3.0,3475.0,0.0
1100000.0,,,,,2,14,17.0,141011,2.0,2142.0,0.0
,0.0,,,,2,14,16.0,141011,,,0.0
,0.0,,,,2,14,11.0,141011,,,0.0
2800000.0,,,,,1,14,15.0,141011,6.0,6141.0,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,17.0,141011,2.0,2142.0,0.0
500000.0,,,,,2,14,17.0,141011,1.0,1315.0,0.0
,,,,,1,14,16.0,141011,3.0,3473.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
800000.0,,,,,2,14,17.0,141011,2.0,2331.0,0.0
,0.0,,,,1,14,17.0,141011,,,0.0
,0.0,,,,1,14,17.0,141011,,,0.0
2500000.0,,,,,1,14,18.0,141011,1.0,1311.0,0.0
450000.0,,,,,2,14,14.0,141011,6.0,6141.0,0.0
0.0,,,,,2,14,13.0,141011,3.0,3416.0,0.0
,0.0,,,,2,14,13.0,141011,,,0.0
,0.0,,,,2,14,10.0,141011,,,0.0
3000000.0,,,,,1,14,17.0,141011,2.0,2421.0,0.0
3000000.0,,,,,2,14,17.0,141011,2.0,2421.0,0.0
,,,,,1,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,1,14,12.0,141011,3.0,3439.0,0.0
600000.0,,,,,2,14,17.0,141011,2.0,2332.0,0.0
,,,,,1,14,17.0,141011,1.0,1315.0,0.0
1100000.0,,,,,2,14,17.0,141011,2.0,2310.0,0.0
,0.0,,,,2,14,9.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,650000.0,,1,14,17.0,141011,,,650000.0
,0.0,,113000.0,,2,14,18.0,141011,,,113000.0
160000.0,,,260000.0,,2,14,15.0,141011,5.0,5220.0,260000.0
,0.0,,,,2,14,4.0,141011,,,0.0
,,,,,1,14,17.0,141011,1.0,1317.0,0.0
,,,,,2,14,20.0,141011,2.0,2332.0,0.0
,0.0,,,,1,14,14.0,141011,,,0.0
,0.0,,,,2,14,13.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
1000000.0,,,580000.0,,1,14,17.0,141011,3.0,3415.0,580000.0
,,,200000.0,,2,14,17.0,141011,7.0,7332.0,200000.0
,0.0,,,,1,14,17.0,141011,,,0.0
,,,,,1,14,18.0,141011,2.0,2223.0,0.0
,,,,,2,14,18.0,141011,2.0,2223.0,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
1500000.0,,,,,1,14,16.0,141011,2.0,2451.0,0.0
,,,,,2,14,12.0,141011,9.0,9113.0,0.0
,0.0,,,,1,14,15.0,141011,,,0.0
,0.0,,,,2,14,18.0,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,0.0,,2200000.0,,1,14,12.0,141011,,,2200000.0
,0.0,,200000.0,,2,14,14.0,141011,,,200000.0
450000.0,,,,,1,14,17.0,141011,3.0,3472.0,0.0
,,,,,1,14,12.0,141011,1.0,1316.0,0.0
800000.0,,,,,2,14,17.0,141011,3.0,3431.0,0.0
,0.0,,,,1,14,9.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,0.0,,,,1,14,17.0,141011,,,0.0
,0.0,,,,2,14,17.0,141011,,,0.0
,0.0,,500000.0,,1,14,18.0,141011,,,500000.0
,0.0,,300000.0,,2,14,16.0,141011,,,300000.0
,0.0,,,,2,14,17.0,141011,,,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,0.0,,500000.0,,2,14,19.0,141011,,,500000.0
,0.0,,500000.0,,1,14,17.0,141011,,,500000.0
370000.0,,,,,1,14,14.0,141011,4.0,4131.0,0.0
,0.0,,,,2,14,13.0,141011,,,0.0
,0.0,,,,2,14,18.0,141011,,,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,,,,,1,14,17.0,141011,2.0,2411.0,0.0
600000.0,,,,,2,14,12.0,141011,4.0,4115.0,0.0
1400000.0,,,,,2,14,17.0,141011,2.0,2411.0,0.0
,,,,,1,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
500000.0,,,,,1,14,14.0,141011,2.0,2411.0,0.0
,0.0,,,,2,14,15.0,141011,,,0.0
,0.0,,,,1,14,14.0,141011,,,0.0
1800000.0,,,,,2,14,17.0,141011,1.0,1229.0,0.0
600000.0,,,,,1,14,17.0,141011,2.0,2132.0,0.0
,,,,,1,14,16.0,141011,8.0,8324.0,0.0
,0.0,,,,2,14,14.0,141011,,,0.0
,0.0,,,,1,14,12.0,141011,,,0.0
,,,,,1,14,,141011,,,0.0
,,,,,2,14,,141011,,,0.0
,,,,,1,14,,141011,,,0.0
700000.0,,,,,1,14,12.0,141011,9.0,9152.0,0.0
150000.0,,,,,2,14,9.0,141011,9.0,9131.0,0.0
300000.0,,,,,2,14,12.0,141011,9.0,9131.0,0.0
,0.0,,,,2,14,12.0,141011,,,0.0
350000.0,,,,,2,14,12.0,141011,5.0,5220.0,0.0
,0.0,,,,1,14,16.0,141011,,,0.0
,0.0,,300000.0,,1,14,12.0,141011,,,300000.0
,0.0,,200000.0,,2,14,12.0,141011,,,200000.0
,,,140000.0,,1,14,8.0,141011,1.0,1313.0,140000.0
,0.0,,,104646.0,2,14,11.0,141011,,,104646.0
400000.0,,,,,1,14,8.0,141011,9.0,9132.0,0.0
350000.0,,,,,1,14,12.0,141011,4.0,4131.0,0.0
