id_hogar,region,estrato,edad,alfabetismo,asiste_actualmente,razon_no_asistencia,ultimo_año_asistencia,nivel_educacion,curso,jefe_hogar,año
1410110140401.0,14,141011,22,1,1,,,13.0,3,0,2017
1410110140401.0,14,141011,16,1,1,,,9.0,1,0,2017
1410110140402.0,14,141011,60,1,2,,,11.0,4,1,2017
1410110140402.0,14,141011,52,1,2,,,11.0,4,0,2017
1410110140402.0,14,141011,20,1,2,7,3,9.0,4,0,2017
1410110140402.0,14,141011,16,1,1,,,9.0,1,0,2017
1410110140501.0,14,141011,54,1,2,,,13.0,3,1,2017
1410110140601.0,14,141011,75,1,2,,,8.0,6,1,2017
1410110140701.0,14,141011,58,1,2,,,13.0,4,1,2017
1410110140701.0,14,141011,88,1,2,,,8.0,3,0,2017
1410110140701.0,14,141011,83,1,2,,,8.0,3,0,2017
1410110140801.0,14,141011,80,1,2,,,8.0,6,1,2017
1410110141001.0,14,141011,49,1,2,,,9.0,4,1,2017
1410110141001.0,14,141011,20,1,1,,,13.0,1,0,2017
1410110141001.0,14,141011,6,,1,,,7.0,1,0,2017
1410110150201.0,14,141011,53,1,2,,,13.0,4,1,2017
1410110150201.0,14,141011,44,1,2,,,13.0,4,0,2017
1410110150201.0,14,141011,81,1,2,,,8.0,1,0,2017
1410110150301.0,14,141011,72,1,2,,,9.0,4,1,2017
1410110150301.0,14,141011,71,1,2,,,9.0,4,0,2017
1410110160401.0,14,141011,33,1,2,,,13.0,5,1,2017
1410110160401.0,14,141011,27,1,2,7,4,13.0,5,0,2017
1410110160401.0,14,141011,2,,2,,,1.0,,0,2017
1410110170101.0,14,141011,37,1,2,,,14.0,7,1,2017
1410110170101.0,14,141011,36,1,2,,,13.0,5,0,2017
1410110170101.0,14,141011,2,,2,,,1.0,,0,2017
1410110170101.0,14,141011,9,,1,,,7.0,4,0,2017
1410110170101.0,14,141011,13,,1,,,7.0,7,0,2017
1410110170201.0,14,141011,63,1,2,,,13.0,5,1,2017
1410110170401.0,14,141011,56,1,2,,,13.0,2,1,2017
1410110170401.0,14,141011,34,1,2,,,5.0,,0,2017
1410110170401.0,14,141011,17,1,1,,,9.0,3,0,2017
1410110170401.0,14,141011,83,1,2,,,8.0,6,0,2017
1410110180101.0,14,141011,26,1,2,7,2,15.0,5,1,2017
1410110180101.0,14,141011,75,1,2,,,8.0,99,0,2017
1410110180101.0,14,141011,26,1,2,7,2,13.0,5,0,2017
1410110180301.0,14,141011,72,1,2,,,13.0,5,1,2017
1410110180301.0,14,141011,71,1,2,,,13.0,5,0,2017
1410110180601.0,14,141011,72,1,2,,,15.0,7,1,2017
1410110180601.0,14,141011,62,1,2,,,13.0,5,0,2017
1410110180601.0,14,141011,31,1,2,,,9.0,4,0,2017
1410110180701.0,14,141011,68,1,2,,,15.0,7,1,2017
1410110180701.0,14,141011,64,1,2,,,15.0,7,0,2017
1410110180801.0,14,141011,72,1,2,,,15.0,8,1,2017
1410110180801.0,14,141011,73,1,2,,,15.0,6,0,2017
1410110181001.0,14,141011,63,1,2,,,13.0,6,1,2017
1410110181001.0,14,141011,36,1,2,,,13.0,5,0,2017
1410110181101.0,14,141011,53,1,2,,,13.0,5,1,2017
1410110181101.0,14,141011,50,1,2,,,13.0,5,0,2017
1410110181101.0,14,141011,23,1,1,,,13.0,4,0,2017
1410110181101.0,14,141011,17,1,1,,,9.0,3,0,2017
1410110181201.0,14,141011,42,1,2,,,13.0,3,1,2017
1410110181201.0,14,141011,39,1,2,,,13.0,3,0,2017
1410110181201.0,14,141011,9,,1,,,7.0,3,0,2017
1410110181201.0,14,141011,6,,1,,,4.0,,0,2017
1410110181201.0,14,141011,0,,2,,,1.0,,0,2017
1410110190201.0,14,141011,53,1,2,,,13.0,5,1,2017
1410110190201.0,14,141011,49,1,2,,,13.0,5,0,2017
1410110190201.0,14,141011,25,1,1,,,13.0,4,0,2017
1410110190201.0,14,141011,18,1,1,,,9.0,4,0,2017
1410110190401.0,14,141011,52,1,2,,,13.0,5,1,2017
1410110190401.0,14,141011,24,1,1,,,13.0,5,0,2017
